gene symbol	pc1	t4.129#1	t4.129#2	t4.aj#1	t4.aj#2	t4.akr#1	t4.akr#2	t4.b10#1	t4.b10#3	t4.b6#1	t4.b6#2	t4.b6#3	t4.b6#4	t4.b6#5	t4.bpl#1	t4.bpl#2	t4.btbr#1	t4.btbr#2	t4.balb#1	t4.balb#2	t4.c3h#1	t4.c3h#2	t4.c57br#1	t4.c57br#2	t4.c57ks#1	t4.c57ks#2	t4.c57l#1	t4.c57l#2	t4.cas#2	t4.cas#3	t4.cbaca#1	t4.cbaca#2	t4.cbaj#1	t4.cbaj#2	t4.ce#1	t4.ce#2	t4.dba2#1	t4.dba2#2	t4.ddy#1	t4.ddy#2	t4.fvb#1	t4.fvb#2	t4.jf1ms#1	t4.jf1ms#2	t4.kk#1	t4.kk#2	t4.lg#1	t4.lg#2	t4.lp#1	t4.lp#2	t4.ma#1	t4.ma#2	t4.mrl#1	t4.mrl#2	t4.msm#1	t4.msm#2	t4.nod#1	t4.nod#2	t4.non#1	t4.non#2	t4.nor#1	t4.nor#2	t4.nzb#1	t4.nzb#2	t4.nzw#1	t4.nzw#2	t4.p#1	t4.p#2	t4.pl#1	t4.pl#2	t4.pwd#1	t4.pwd#2	t4.riii#1	t4.riii#2	t4.sea#1	t4.sea#2	t4.sjl#1	t4.sjl#2	t4.sm#1	t4.sm#2	t4.swr#1	t4.wsb#1	t4.wsb#2
1110007c09rik	-0.002785155917568313	0.8903743902438919	-3.6724256097560897	-84.50642560975609	-75.6092256097561	22.613074390243924	62.21457439024391	-58.14322560975609	-7.101725609756102	-43.08092560975609	11.350574390243878	3.702874390243892	-10.179925609756083	-18.528525609756116	1.1602743902438988	-62.24102560975609	-1.2699256097561147	51.07817439024387	-55.67982560975611	-38.674625609756106	-42.41362560975608	-60.16072560975607	-31.76242560975612	2.808974390243918	51.8350743902439	-13.514025609756118	10.028174390243919	-13.919925609756092	62.16657439024391	68.02587439024393	32.029774390243915	-59.29402560975609	-7.5983256097561025	-5.555325609756096	-8.365225609756124	-64.0111256097561	98.0952743902439	9.836874390243906	-1.8297256097561103	22.208074390243894	59.8699743902439	-3.2853256097561143	40.45907439024393	16.492574390243874	-32.0990256097561	-64.3576256097561	21.716174390243907	-25.650525609756073	-22.699225609756013	-21.975725609756125	-11.110425609756078	6.603674390243896	30.435374390243908	16.081974390243886	24.59157439024392	36.16427439024392	25.25647439024391	-21.2541256097561	-31.007325609756094	-15.325025609756096	20.540374390243926	24.056774390243902	20.814374390243927	5.556874390243877	81.28427439024392	48.04437439024389	6.179174390243929	-24.59882560975609	-65.2120256097561	-3.881225609756086	34.3581743902439	-4.987025609756074	2.1949743902438854	26.523174390243923	-15.719825609756072	-29.328725609756077	-15.344425609756115	-40.04522560975607	3.926474390243925	36.65197439024388	34.143074390243896	40.948974390243905	42.055174390243906
1500012f01rik	0.005635684687316477	-104.92524512195115	96.20955487804883	-82.0849451219512	303.06135487804886	34.65205487804883	-48.04234512195114	-27.71574512195116	9.35355487804884	91.2427548780488	176.66835487804883	131.018654878049	-10.873245121951186	85.6770548780488	33.52405487804879	-72.03974512195117	-3.367945121951152	44.46425487804879	55.144454878048805	-79.93334512195116	-60.51524512195118	291.16105487804884	-107.95294512195119	-45.72604512195119	48.97905487804883	3.239654878048782	-66.66584512195118	-99.10064512195117	-151.6021451219512	-126.91304512195114	147.39055487804887	96.46525487804888	36.54425487804883	94.86135487804881	-11.460045121951225	-61.46354512195114	260.19275487804885	195.23265487804883	58.84745487804878	-27.717145121951148	-66.69364512195119	-77.67034512195119	92.82095487804884	72.8016548780488	7.947054878048789	94.96075487804887	70.57235487804883	-0.36214512195113	-163.62714512195117	-143.2063451219512	54.3215548780488	60.98025487804887	142.83915487804882	288.1721548780488	-121.57954512195118	85.60305487804885	-8.84934512195116	-135.64124512195116	-174.44234512195118	-143.1764451219512	118.43575487804878	158.3799548780488	-58.41354512195119	-102.84824512195115	25.391954878048864	-16.376745121951217	10.266454878048876	-30.537845121951136	-162.82754512195118	-190.39634512195119	0.015254878048835963	35.93375487804883	-68.0541451219512	-222.39164512195117	32.965354878048856	37.491454878048785	38.230754878048856	-84.88494512195115	-60.086145121951176	-113.89504512195117	-129.1472451219512	-115.6415451219512	-143.21104512195114
4632428n05rik	-0.0027418830608156	459.058237804878	243.45643780487808	41.71573780487779	-166.8368621951222	14.33253780487803	86.97093780487785	-388.6574621951222	-105.51956219512203	228.15433780487774	-2.8724621951223526	115.49623780487809	-9.90276219512225	53.2854378048778	-21.3712621951222	-127.3390621951221	-62.6242621951219	600.9765378048778	-467.93536219512225	-537.123862195122	-22.395962195122138	-107.01216219512207	403.4698378048779	508.009237804878	194.90923780487765	128.58553780487773	70.04793780487807	-94.23096219512217	-348.0126621951222	-213.8435621951221	66.98783780487793	171.6224378048778	150.79153780487786	-45.37856219512196	-161.63096219512136	-127.90546219512225	551.9014378048778	276.31423780487785	-61.623562195122304	26.43343780487794	-126.36786219512214	-310.546062195122	249.22893780487766	80.50663780487776	217.81523780487805	374.57013780487796	-561.073962195122	-393.93526219512205	-199.23126219512233	6.855937804878067	85.70973780487793	-10.48936219512234	201.95643780487808	-126.00266219512196	42.430937804877885	845.6615378048778	236.2487378048777	-46.21666219512235	-377.6988621951223	-61.1221621951222	258.560937804878	-94.16116219512196	123.39963780487778	186.18473780487784	165.3202378048777	176.92863780487778	-26.812962195122054	-20.11496219512219	-152.807762195122	-468.6819621951222	-314.46126219512234	-258.5390621951219	-16.48956219512229	-138.336762195122	-340.69566219512217	-296.5447621951221	-314.328662195122	-33.50866219512227	-637.9198621951223	-569.093962195122	-3.364962195122189	695.3787378048778	631.486537804878
aars	0.005677014607188761	6.136807317073249	7.55190731707313	-9.869892682926832	-22.27279268292682	35.33250731707318	-3.892992682926831	-26.318392682926856	9.358907317073147	29.129107317073135	10.764007317073151	58.78240731707314	-8.138292682926817	49.576407317073176	-41.03619268292687	-44.57999268292684	0.8081073170731656	92.06290731707315	22.32910731707318	2.6827073170731524	25.81180731707326	32.72630731707318	-2.1222926829268545	-14.540992682926856	-24.813992682926823	-11.69259268292683	-53.89129268292686	-21.81819268292685	-36.305792682926835	-21.661592682926823	8.440407317073152	31.07570731707318	17.78820731707316	-3.833492682926817	-11.03169268292686	4.776207317073158	137.18950731707315	31.823107317073152	32.32480731707318	-11.271092682926849	-36.485292682926854	-29.272392682926863	-0.2720926829268251	-8.038492682926858	-23.914992682926822	-8.721392682926819	-15.774692682926855	-34.91909268292682	20.358807317073172	21.932107317073132	31.38130731707315	41.94150731707316	50.53540731707318	15.24260731707318	-59.70349268292682	-1.0772926829268386	-2.574192682926821	-41.16269268292683	-73.98759268292685	-20.349092682926823	1.1985073170731653	-43.498992682926826	22.53140731707316	30.933907317073135	36.538407317073165	17.084607317073164	-1.8634926829268466	-23.85389268292687	-29.582592682926816	-49.86849268292684	-19.345992682926862	-17.94489268292682	3.945707317073186	6.705107317073157	20.31070731707314	12.268407317073184	-13.99859268292687	15.628507317073172	-52.23569268292687	-11.594892682926854	-17.14209268292683	27.056707317073176	-15.790692682926817
abce1	0.004363648374974522	-192.13058536585345	38.93731463414656	-371.88908536585313	428.4157146341465	191.84971463414627	-219.13468536585356	186.0191146341465	-97.32978536585347	224.85751463414658	443.2174146341465	323.5414146341466	169.46791463414638	149.50571463414644	176.11791463414625	171.88881463414646	112.37911463414639	-684.2778853658535	630.1336146341466	260.7857146341464	-14.297185365853466	360.10681463414653	177.13481463414632	67.13061463414647	-250.81448536585344	-237.15648536585354	80.85411463414653	16.607814634146507	-97.66288536585353	-112.85368536585361	247.60291463414637	295.76711463414654	-23.145485365853574	30.779814634146533	50.197114634146374	-51.82808536585344	-338.7400853658535	-332.61968536585346	-72.34418536585349	-264.4251853658536	6.067314634146442	152.47431463414637	-112.08258536585345	-208.29178536585346	-129.18678536585344	61.67151463414643	99.3030146341464	241.7517146341463	-319.3666853658535	-71.29108536585363	446.1254146341464	294.4493146341463	-198.62048536585348	0.8668146341465217	-258.66408536585345	-145.72648536585348	-10.699485365853434	-153.74438536585353	-157.1969853658536	-42.74958536585359	38.34251463414648	-186.41238536585342	-345.5183853658534	52.887514634146555	39.09901463414644	-86.81868536585353	334.77381463414645	274.7912146341466	-331.27698536585353	-539.5884853658536	-289.96588536585364	-79.29568536585361	153.00021463414646	-250.77698536585353	298.1442146341467	220.50991463414653	20.641814634146385	-396.12908536585314	47.766814634146385	-168.52828536585343	-32.40888536585362	321.4076146341465	-62.38258536585363
abtb1	-0.002913844615694934	54.02557439024389	60.76417439024385	-22.988325609756146	-22.67422560975615	-1.0761256097561045	2.8484743902438936	-40.6300256097561	-5.799225609756149	37.06547439024388	-17.518025609756137	58.15797439024385	10.503574390243898	67.75367439024387	11.709174390243845	26.515674390243873	-41.91912560975612	46.78697439024387	-0.019625609756133144	29.95617439024386	-26.706325609756107	-2.8349256097561124	-5.122625609756142	53.09217439024388	58.28317439024386	37.36107439024386	-22.19182560975611	-6.331425609756138	-7.987825609756101	-15.42502560975612	2.7464743902438613	10.37197439024385	23.535874390243862	58.0010743902439	-7.910325609756114	22.479174390243884	93.8194743902439	37.2449743902439	19.04897439024387	21.416574390243852	-41.526525609756106	-48.311925609756145	0.6086743902438911	23.12597439024387	-18.442625609756135	24.335974390243848	12.782874390243876	6.014774390243872	-69.13232560975615	-29.55832560975614	55.01817439024387	-4.225125609756105	55.09207439024385	-18.585825609756114	-61.57122560975614	36.43747439024389	37.2252743902439	-1.4194256097561038	-55.86342560975612	-26.81492560975613	18.528774390243882	19.896974390243884	-15.233625609756132	-27.734325609756127	-19.912025609756142	-20.770025609756146	21.49127439024386	33.9170743902439	2.6873743902438605	-21.5100256097561	-32.13422560975613	-12.361425609756111	-14.751925609756142	-91.36392560975614	-20.5743256097561	-20.761325609756113	-63.25732560975615	-72.11292560975613	-21.481725609756154	-25.828725609756134	-28.71352560975612	-19.65342560975614	-39.90912560975613
adam8	-0.004225921293547435	-2.103709756097558	2.2112902439024396	2.5292902439024374	-11.288509756097568	-6.481309756097559	6.254890243902437	1.8240902439024325	-0.3082097560975683	-0.14910975609755894	-2.483109756097562	-7.437609756097558	-2.9156097560975667	15.258090243902444	0.7031902439024407	2.9893902439024345	-3.811909756097563	6.1080902439024385	-5.473009756097568	4.268790243902444	-1.606609756097555	7.508590243902432	3.310890243902435	-11.859709756097558	1.964090243902433	-10.241909756097556	5.278590243902443	8.127790243902439	11.449990243902434	11.387890243902433	-5.934609756097558	-1.32550975609756	-8.256009756097555	-5.620309756097555	-3.8408097560975563	-12.489809756097557	-15.394109756097563	3.3968902439024333	-2.6929097560975634	-15.268209756097562	11.58289024390244	6.12869024390244	-4.251309756097555	0.1384902439024387	10.714190243902436	-5.8294097560975615	0.19139024390243264	-4.921009756097561	3.3066902439024375	5.712090243902438	-9.233209756097565	-2.477109756097562	-10.413509756097568	19.656690243902432	5.02679024390244	-0.966809756097561	8.033790243902445	-1.327009756097567	-9.30240975609756	2.010990243902441	-9.161309756097566	0.5996902439024439	-3.3903097560975652	16.74169024390244	6.3806902439024356	0.23759024390243155	-9.336109756097557	-17.11660975609756	11.862690243902435	19.733890243902437	-16.253109756097558	-17.12050975609756	-4.897309756097556	17.269290243902432	-1.8461097560975617	-4.165309756097557	0.09219024390243646	4.0455902439024385	6.102890243902436	15.774090243902435	7.065690243902438	-5.794409756097565	1.804990243902438
add3	-0.002306460200364565	96.98059634146239	227.8044963414627	-165.43440365853758	606.6952963414624	227.01999634146296	90.94989634146259	-138.68900365853733	-657.7915036585373	193.19439634146238	160.88019634146258	236.2350963414624	-53.17610365853761	148.96169634146236	77.71499634146267	470.01249634146234	-80.40210365853727	-586.7733036585373	752.9894963414627	333.5855963414624	-142.4515036585376	389.90689634146247	102.58889634146271	101.22819634146254	82.2038963414625	32.671396341462696	42.82599634146254	52.071496341462534	-38.73710365853731	-79.3594036585373	-15.106403658537602	-44.92320365853766	346.16039634146273	129.93649634146277	4.591896341462416	134.4226963414626	-90.97280365853749	-87.09860365853729	-127.01240365853755	43.829096341462446	-78.26880365853731	425.52079634146276	-152.14920365853732	-103.49160365853731	-49.09900365853764	9.011996341462691	-54.75660365853764	293.86039634146255	-286.4260036585374	62.82339634146274	121.72589634146243	16.166996341462436	-282.0992036585376	-655.2734036585375	-392.0581036585372	-64.22800365853755	-115.56530365853723	21.042896341462438	-90.2640036585376	100.32599634146254	3.6495963414627113	-210.02310365853737	-564.5032036585376	-364.0728036585374	-207.1644036585376	-284.10600365853725	19.208296341462756	162.3319963414624	200.31719634146248	-265.25660365853764	-312.44480365853724	82.13419634146248	12.76969634146235	-465.72740365853724	296.99709634146257	68.47259634146258	14.834796341462607	-114.22880365853734	45.01419634146259	-135.12570365853753	398.21549634146277	107.62179634146241	6.752996341462676
adpgk	-0.0051191707429830225	-21.525676829268264	56.3447231707317	-56.64977682926826	71.02002317073169	-31.46817682926826	-75.20117682926826	-62.05667682926827	-14.98077682926828	-1.226976829268267	24.88312317073172	-25.34637682926831	-9.008976829268306	-32.95997682926827	251.58992317073177	186.7949231707317	244.6423231707317	365.8342231707317	33.87842317073171	79.10712317073177	-36.14977682926826	-55.10467682926827	-21.79677682926831	-25.175876829268304	-26.694776829268278	-22.367076829268285	-60.1740768292683	-41.098276829268286	-21.436776829268297	-60.92917682926827	331.12442317073175	229.00262317073174	420.24992317073173	412.6956231707317	-68.21457682926831	-53.8323768292683	49.84962317073172	-22.613176829268298	28.533523170731712	105.62982317073175	-61.02107682926828	-39.20167682926831	33.95622317073173	-7.322876829268296	-88.84757682926829	-39.36357682926831	-24.792876829268266	-52.6586768292683	-58.41717682926827	1.2768231707316886	42.744723170731675	17.765923170731696	-56.93917682926826	-91.70617682926826	-147.6468768292683	-54.111376829268295	-90.21587682926827	-52.29337682926831	-75.54677682926831	-38.36117682926829	-26.406676829268292	-12.925576829268266	-108.24197682926831	-40.21307682926829	-62.99507682926827	-69.6158768292683	6.328123170731715	-12.277476829268267	-42.17707682926829	-115.23717682926826	-87.4960768292683	-78.89697682926828	-111.04757682926828	-159.71567682926826	31.19672317073173	-35.46537682926828	-38.530576829268284	-14.075276829268262	-6.826876829268258	-106.4265768292683	-22.996576829268292	7.625623170731728	-56.04867682926829
aebp2	0.005948044533678978	-13.499658536585343	20.320341463414707	-77.92565853658527	100.33684146341466	60.40964146341469	9.703541463414695	-14.54165853658526	-217.7006585365853	-39.38775853658535	10.424641463414673	68.1111414634147	65.6196414634145	54.47554146341463	-58.64055853658533	20.84914146341464	13.356541463414715	-213.0630585365853	106.14904146341473	81.01364146341473	29.644141463414712	55.94594146341467	-7.4370585365853685	51.76664146341466	-73.80185853658531	-55.488858536585326	12.8244414634147	-67.1918585365853	-12.843958536585319	51.48304146341468	-7.439958536585323	-84.98165853658531	92.48564146341471	97.49054146341473	-37.16295853658528	-32.53945853658536	-83.14335853658531	-101.06665853658535	105.85594146341464	-38.287858536585304	-11.590858536585301	85.97654146341472	-18.20075853658534	24.847341463414637	-1.843358536585356	40.30074146341474	25.03014146341468	76.0160414634147	-104.79295853658527	29.389641463414705	-7.502358536585348	-61.44915853658529	-11.83365853658529	-133.50635853658537	5.49164146341468	-8.322458536585373	26.58914146341465	31.234541463414644	-44.349158536585264	-59.57825853658528	106.59364146341488	119.32834146341463	-108.6003585365853	-35.09705853658534	-12.55895853658535	-24.44555853658528	53.31554146341466	85.72234146341464	54.35544146341465	-41.4436585365853	-114.84385853658534	2.3123414634146684	-104.09365853658528	-123.15585853658536	124.5762414634147	46.89694146341469	6.749641463414491	61.6283414634147	154.35004146341464	-49.16035853658536	78.6967414634147	-20.366658536585305	-14.787558536585266
