Gene symbol	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h
Azgp1	0.0	0.0	0.0	0.0	0.0
Lrp11	0.3145	0.853	1.3405	1.0895	0.9209999999999999
Col17a1	0.0415	0.004	0.0095	0.009000000000000001	0.0105
Ech1	42.73350000000001	36.6585	29.72	25.733	28.8205
Pak7	0.0	0.0	0.0	0.0	0.004
Jazf1	0.369	0.45	0.4705	0.3975	0.5549999999999999
Irf2bp2	50.813	71.2355	75.4285	61.1275	67.07900000000001
Ddx46	25.3165	29.905500000000004	32.474000000000004	35.934	39.735
D130043K22Rik	0.03	0.0235	0.0	0.0	0.0205
Npff	5.3660000000000005	5.055	3.5210000000000004	2.5025	1.9795
5830473C10Rik	0.0	0.0	0.0	0.0	0.0
Prpf8	48.4485	77.301	106.197	112.591	116.64299999999999
Fam174a	11.695	7.0895	8.3115	8.027999999999999	9.1525
Dscaml1	0.7395	0.5395	0.5309999999999999	0.3435	0.126
Cdk5r2	0.0	0.0	0.0	0.0	0.006500000000000001
Mtif2	7.576	9.139499999999998	10.9015	11.2075	13.2675
Nat14	1.5895	2.321	2.0155	2.364	1.3255
Crot	13.65	11.009	6.46	6.551500000000001	5.6485
Cd209d	2.2305	0.116	0.0	0.0	0.0
Clec4a4	0.5680000000000001	0.382	0.2	0.065	0.1015
Osm	16.4825	11.021999999999998	17.755000000000006	15.072	16.206
Gm6614	0.0	0.0	0.0	0.0	0.0
Tgm1	2.1595	1.188	1.285	1.0255	0.6905
Acvr1	1.614	1.399	1.836	1.168	2.0235
Med22	17.177	18.3685	22.276000000000003	24.601999999999997	27.195
Prss12	1.649	1.1585	0.379	0.2825	0.185
Ntan1	18.905	19.548	23.4895	18.283500000000004	20.261
Ash1l	15.1095	16.344	13.1735	13.2435	12.9205
Gipc2	0.0	0.0	0.041	0.0	0.0225
Vmn1r205	0.0	0.0	0.0	0.0	0.0
Mpo	59.6695	37.83	16.162	7.8325	2.112
Scml4	23.1535	11.636	2.7515	3.6125	1.1045
Cyp2c39	0.014	0.0	0.0	0.0	0.0
Optn	7.895499999999998	6.582999999999999	4.522	3.5955000000000004	2.676
Mta3	30.421999999999997	21.4255	18.8565	17.723	19.198500000000006
Cox6c	49.7165	64.5345	78.208	83.9505	83.9105
Gm14325	0.5915	0.6745000000000001	0.7390000000000001	0.7509999999999999	0.593
Prom1	2.6950000000000003	1.7675	1.1905	0.872	0.3535
Cass4	0.8575	0.966	0.8105	1.2665000000000002	1.1025
1810030O07Rik	13.845999999999998	14.219	14.939	14.002	14.9625
Smr3a	0.0	0.0	0.0	0.0	0.0
Poldip2	10.991	15.4875	24.823500000000006	27.4805	30.8115
4930558K02Rik	0.266	0.0	0.0	0.0	0.029
Xndc1	5.682	8.229	9.31	9.182	10.6015
Nxf1	69.81	78.79849999999998	81.86449999999998	85.88550000000002	89.93700000000001
Eif4enif1	21.7005	27.25	39.9885	46.5385	61.8885
Supt7l	4.917	6.9510000000000005	8.744	9.883	9.63
Arl8b	33.3925	37.3245	41.6395	40.0495	38.8425
Maged2	1.075	1.8625	2.088	1.4215	1.714
Gja4	0.0	0.0	0.123	0.039	0.20600000000000002
Csf2	8.045	23.6505	50.068999999999996	39.28	37.8185
Cxx1a	1.0495	0.6005	0.3845	0.368	0.433
Rsph4a	0.0	0.0055000000000000005	0.0215	0.006	0.0155
Lim2	0.0	0.0	0.0	0.0	0.0
Ifitm6	381.4565	242.488	102.6375	76.487	21.9135
Ube2z	27.9975	40.0245	48.672	47.9585	51.6715
Deaf1	14.428999999999998	11.1245	10.9615	11.6125	10.5655
Mroh5	0.0	0.0	0.0	0.0525	0.0125
Ccdc39	2.5069999999999997	3.27	1.847	2.032	1.7735
Mical2	0.6235	0.203	0.058	0.0315	0.039
Fbxw17	2.53	1.9685	4.0295	2.619	3.6995
Ank3	0.0355	0.0455	0.003	0.003	0.013
Tcl1b5	0.0	0.0	0.0	0.0	0.0
Tasp1	5.3615	3.3995	4.372999999999998	5.055	5.1495
Dalrd3	18.500999999999998	15.0725	16.866	19.28	23.9355
Rps15	532.1949999999998	594.2695	801.8854999999999	858.6295	892.7570000000002
Dnajb5	5.7189999999999985	7.7494999999999985	11.765	12.065	15.569499999999998
Lrrc20	2.403	2.6015	3.418	3.5215	3.4785000000000004
Zmat2	21.6705	27.7375	29.4235	30.4245	35.673
Gmnc	0.0	0.0	0.0	0.0	0.0
Lyrm9	2.0860000000000003	2.0805	2.0085	2.289	2.5665000000000004
Pcdhga8	2.8025	4.9005	5.053999999999999	4.6785	5.0015
Gm9268	0.0	0.0	0.0	0.0	0.0
B3gnt6	0.2125	0.091	0.0855	0.02	0.0
Tspan6	0.1875	1.7730000000000001	1.905	2.0500000000000003	2.1015
Fchsd2	12.654000000000002	14.841	13.32	10.669	8.7025
Mospd2	9.9365	7.56	5.099	5.3130000000000015	4.449999999999998
Nxf2	0.011	0.2325	0.06	0.1015	0.0945
Pdzd7	0.0645	0.016	0.079	0.087	0.0385
Pvalb	0.0	0.0	0.0	0.0	0.0
Cyb561d1	10.5255	10.6655	7.4345	7.832000000000001	7.915999999999999
Fam131b	0.2175	0.10400000000000001	0.0275	0.0495	0.0205
Rab4b	47.1925	40.187	34.067	33.435500000000005	34.102000000000004
Tpbpa	0.1325	0.0	0.0	0.0	0.0265
Capn1	68.465	54.097	36.637	33.344	32.346
Ncl	51.4195	98.1795	180.954	216.30599999999998	255.2505
Hoxa9	0.245	0.0345	0.08900000000000001	0.08549999999999999	0.1905
Cobll1	1.1640000000000001	1.2575	1.3769999999999998	1.615	1.85
Add3	61.338	46.57600000000001	26.8275	21.072	16.134999999999998
Snx9	10.7665	3.8615	4.9385	5.9795	7.591
Oasl1	6.3975	2.574	2.4725	2.0685	1.848
Zfp747	4.277	5.6425	5.598000000000001	5.49	5.9505
Tas2r110	0.0	0.0	0.0	0.0	0.0
Ankrd22	19.444000000000003	13.5055	3.333	2.7089999999999996	1.0195
Ripply2	0.0	0.0	0.0	0.0	0.0365
Lrrc41	14.999	18.9775	26.2795	26.808000000000003	29.058000000000003
Crtc3	18.697	12.8585	10.238999999999999	10.033	8.6055
Ptges3l	1.8805	2.2675	2.506	2.0225	1.922
Gsdma3	0.0	0.0	0.0	0.0	0.0
Trpc4	0.0	0.0	0.0	0.0	0.0
Chd4	79.8465	103.58200000000001	111.9475	113.3715	120.46799999999999
Fpr3	0.0	0.0	0.016	0.0	0.0
Strn4	24.8	25.8335	33.084	33.8805	37.7385
Vmn1r88	0.0	0.0	0.0	0.0	0.0
1700013G24Rik	0.0	0.0	0.0	0.0	0.0
BC061194	0.0	0.0605	0.0	0.0285	0.011
Ndufc1	18.1255	25.646500000000003	36.96	31.448	33.8685
Phyhd1	6.250499999999999	4.461	2.583	2.4745	1.889
Cd36	22.4335	7.1865000000000006	2.834	2.63	1.5635
Arl4c	34.707	21.5315	16.4	13.513	10.5765
Sigirr	19.8825	11.9645	8.557500000000001	9.1675	9.46
Dhx8	16.409000000000002	21.5115	26.061	28.041000000000004	27.976999999999997
Fyco1	6.3605	4.659999999999998	2.9985	2.87	2.2985
Lrrc38	0.0	0.0	0.0	0.0	0.0
Nup210	30.4265	24.1115	27.6805	31.6065	33.3995
Casp12	0.124	0.033	0.14300000000000002	0.295	0.252
Vmn1r229	0.0	0.0	0.0	0.0	0.0
Vmn1r124	0.0	0.0	0.0	0.0	0.0
Med15	25.774	26.945	29.419	29.6755	30.6015
Ugt1a2	14.682	7.8260000000000005	2.2590000000000003	1.237	0.496
Psma1	51.0905	75.91850000000002	107.12700000000001	107.1745	119.07299999999998
Pqlc3	29.4055	20.4635	11.963	10.1	6.974
Mettl14	7.176	8.9665	11.6875	10.615	10.746
2610034B18Rik	2.2119999999999997	0.672	0.7484999999999999	0.322	0.273
Npy4r	0.0	0.0	0.038	0.0	0.0
Pik3cb	11.747	8.9625	5.3445	4.5059999999999985	3.409
Crem	31.498	41.896	60.1635	45.9745	46.092
Slco1c1	0.0	0.0	0.0	0.0	0.0
Dab2	3.2145	1.3915	1.0705	0.893	0.252
Olfr1048	0.0	0.0	0.0	0.0	0.0
Tmem52b	0.0	0.043	0.0275	0.008	0.0
Pdk4	0.0	0.006	0.1285	0.013500000000000002	0.114
4930596D02Rik	0.0	0.0	0.0	0.0	0.0
Iqcf1	0.0	0.0	0.0	0.0	0.0
Ubtfl1	0.0	0.0	0.0	0.0	0.0
Rgs4	0.0	0.0	0.0	0.0	0.0
Nr1h2	54.0325	50.7415	65.667	66.3665	74.649
Lrp2bp	0.0	0.059000000000000004	0.0555	0.061	0.1085
Kctd18	5.8465	7.0385	7.362499999999999	8.347999999999999	7.705
Mpp1	44.446999999999996	30.9975	18.36	16.064	13.3205
Kng2	0.0	0.0	0.0	0.0	0.0
Alx4	0.0	0.008	0.005	0.0	0.011
Hira	10.4945	13.5545	17.0915	18.7465	19.013
Zfp867	1.1555	1.844	1.523	1.727	1.484
Ace3	0.0	0.0	0.0	0.0095	0.0
Pld1	2.9615	2.0815	1.0659999999999998	0.7190000000000001	0.341
Slc35d1	2.1575	3.5205	4.582	4.4725	5.6395
Tmem179	0.0	0.0085	0.0085	0.0	0.0
1700015G11Rik	0.0	0.0	0.0	0.0	0.0
Armcx4	0.258	0.401	0.5820000000000001	0.4655	0.494
Acer3	3.4015	3.529	3.491	3.3065	2.9005
Dock9	3.9339999999999997	5.5855	5.1185	3.789	3.2705
9130409I23Rik	0.013500000000000002	0.0	0.0	0.0	0.0095
Cisd3	4.2145	3.4795000000000003	4.213	4.1145	5.2165
Pola2	10.5295	12.25	13.5395	13.557	17.6495
Optc	0.0	0.0	0.0	0.026	0.0175
Npvf	0.0	0.0	0.0	0.0	0.0
Sephs1	6.134	8.302	10.9415	10.9215	11.4805
Creb3l4	0.262	0.3495	0.229	0.1185	0.2145
Cers1	0.22200000000000006	0.34950000000000003	0.38799999999999996	0.4235	0.4935
Olfr926	0.0	0.0	0.0	0.0	0.0
Car4	0.115	0.0	0.1005	0.083	0.0215
Olfr1426	0.0	0.0	0.0	0.0	0.0
St6gal1	34.647	31.8135	20.283	15.4835	9.9475
Bud31	57.28100000000001	99.83	127.71	123.8995	124.181
Brix1	12.509	23.087	43.292	47.1645	52.2355
Ugt1a1	14.6695	7.6785	2.2265	1.257	0.472
Zfp607	3.2815000000000003	3.877	3.2945	3.6460000000000004	3.092
Fbxo38	20.1515	23.614	26.023	27.4275	28.043000000000003
Ppp1r14b	20.6105	28.8825	46.9605	51.754	56.69150000000001
Fam65c	0.1885	0.07850000000000001	0.006999999999999999	0.08449999999999999	0.044000000000000004
Cxx1c	1.4235	1.8010000000000002	0.9075	0.29500000000000004	0.34650000000000003
Ctgf	0.0	0.0085	0.0	0.0	0.0115
Bnip1	5.6645	10.0245	14.0015	14.7125	17.187
Kcnh8	0.0	0.005	0.0	0.0	0.0
Tbx5	0.013	0.005	0.0	0.0	0.0
Krtcap3	4.882	3.7645	3.6495	3.5645	3.44
Tekt2	0.1	0.128	0.2285	0.3615	0.3865
Cbr2	0.128	0.0245	0.0	0.0	0.0
Osbpl7	7.852	7.3035	6.38	5.9915	6.1015
Trim3	5.1705000000000005	3.372	3.1315	2.9105	3.0810000000000004
Api5	28.916	40.4605	53.1105	53.7845	53.5855
Clybl	2.1825	1.733	1.064	1.6925	1.0979999999999999
F10	44.321999999999996	20.2265	18.0205	14.593	9.573
Wfdc6a	0.0	0.0	0.0	0.0	0.0
Cd200r2	0.4825	0.338	0.605	0.605	0.325
Fam20c	5.7959999999999985	1.713	2.015	1.666	0.9815
Rdh11	12.638	18.0375	20.15	21.601	20.993000000000002
Hbb-bt	2.3655	0.35700000000000004	0.574	1.0539999999999998	0.7364999999999999
Pyurf	1.8715	2.4835000000000003	2.9955	2.4215	2.694
Hormad2	0.3855	0.2195	0.5145	0.4135	0.37799999999999995
Itga7	0.7305	0.2535	0.0965	0.0975	0.0645
Igsf3	1.5725	3.1690000000000005	2.0395000000000003	1.6385	1.004
Rpl13a	393.527	489.6305	623.7925	672.9945	743.5730000000002
Gm9573	0.0235	0.0	0.01	0.013500000000000002	0.0035
Rnf133	0.0	0.0	0.0	0.0	0.0
Med30	16.9155	15.7205	20.038	19.513	25.947
Zdhhc8	7.099	9.244	9.786	9.7725	10.7675
Tmem214	19.0895	23.955	28.618	30.9995	31.4855
Pnmt	0.0	0.0	0.0	0.0	0.0
Gm17365	0.0	0.0	0.0	0.0	0.0
Lgals3	373.72850000000005	160.391	64.9985	46.4785	24.293000000000003
Hoxb1	0.0	0.0	0.0	0.0	0.0085
Msx1	0.0	0.032	0.0	0.0	0.0
Cbfa2t2	4.958	5.058999999999998	5.494	4.918	5.083
Xrra1	0.11699999999999999	0.1545	0.0295	0.048	0.038
Ndufa10	30.329500000000003	42.413999999999994	59.27	62.9225	69.42099999999999
Taok1	19.305	20.393	16.586	16.11	14.610499999999998
Las1l	15.6025	25.492	36.604	39.5125	43.489
Tax1bp3	0.39299999999999996	0.44	0.152	0.2	0.163
Olfr214	0.0	0.0215	0.0	0.0	0.0
Pramel6	0.0	0.0	0.0	0.0	0.0
Olfr984	0.0	0.0	0.0	0.0	0.0
Obox2	0.0	0.0	0.0	0.0	0.0
Nsun3	5.176500000000001	5.3610000000000015	6.212999999999999	6.915	5.7495
Pnpla7	40.813	22.0685	9.26	9.9635	6.0760000000000005
Mapk8ip1	0.628	0.579	0.29700000000000004	0.2115	0.18600000000000003
Bbs4	2.3070000000000004	3.5525	4.6485	4.687	5.0015
Tmem260	4.4235000000000015	4.7775	5.2395000000000005	5.4245	4.288
Tmem206	25.4685	23.1595	18.372	17.516	18.04
Chat	0.0	0.0	0.0	0.0	0.0
Olfr1129	0.0	0.0	0.0	0.0	0.0
Orai1	77.134	104.89950000000002	125.407	123.125	128.80200000000002
Zscan20	2.4115	2.9305000000000003	3.554	3.236	3.575
Tbr1	0.025	0.0	0.0325	0.046	0.013500000000000002
Sp3	54.6645	55.409	44.473	43.7695	38.384
Pcdh20	0.0	0.0	0.0	0.0	0.0
Ehd3	15.59	17.8415	11.7455	8.454	4.914
Vmn1r187	0.0	0.0	0.0	0.0	0.0
Ssh1	19.8345	13.6645	13.8335	10.853000000000002	11.165999999999999
Dtwd1	2.5980000000000003	5.773	7.234	9.483	11.986
Asic5	0.0	0.0125	0.0	0.0	0.0
Zfp637	6.87	5.0015	7.7615	5.908	9.2645
Fam26f	6.662999999999999	3.7355	5.821999999999999	5.8025	7.1265
Ranbp1	51.8145	96.61200000000001	198.572	212.9775	244.6005
Fopnl	19.285999999999998	23.039	23.1475	19.029	19.094
4921509C19Rik	0.0	0.0	0.0075	0.0	0.0105
Arih2	11.4655	13.3355	13.5095	15.5765	15.1025
Card9	17.386499999999998	11.002	3.5385	3.0075000000000003	1.5259999999999998
Nudt7	4.092	4.2410000000000005	2.6830000000000003	2.8045	2.0115
Elovl3	0.053	0.0	0.0	0.0	0.0
Zfp346	7.2235	9.937999999999999	10.526	9.907	9.9075
Sdhc	46.2985	56.2065	74.375	71.23349999999998	76.3365
Emx1	0.0	0.0	0.0	0.0	0.0
Rbm45	20.0165	27.0325	29.4735	30.1235	29.4145
Olfr1000	0.0	0.0	0.0	0.0	0.0
Rhox10	0.0	0.0	0.0	0.0	0.0
Cyp21a1	0.0	0.0215	0.0	0.0125	0.0
4921530L21Rik	0.0	0.0	0.0	0.0	0.0
Kcnrg	1.116	0.9095	0.521	0.5595000000000001	0.387
Msmb	0.0	0.0	0.0	0.0	0.0
Zscan26	15.345	19.4115	19.8225	18.272000000000002	17.531
Cldn4	0.1915	0.5	0.6355	0.7555	1.141
Zfp647	0.5045	0.7829999999999999	0.8195	0.92	0.945
Rnmtl1	2.6305	8.6265	15.98	19.266	15.3945
Ascc3	8.0715	11.905	13.5095	13.0795	12.128
4930404A10Rik	0.018500000000000003	0.0	0.0	0.0	0.0
Reps1	17.996	23.2205	23.761	22.974	23.2355
Vmn1r11	0.0	0.0	0.0	0.0	0.0
Chd1l	8.478	11.251	16.1275	15.942	19.521
Tgif2lx2	0.0	0.0	0.0	0.0	0.0
Sry	0.0	0.0	0.0	0.0	0.0
Ier2	73.4745	101.51	118.1315	106.63	105.986
Gm21943	0.0	0.0	0.0	0.0	0.0
Gm10100	0.0	0.0	0.0	0.0	0.0
Wdr7	4.881	4.9915	3.5420000000000003	3.545	3.497
Psg27	0.0	0.0105	0.0	0.0	0.0095
Cd300a	17.4145	8.153500000000001	3.4014999999999995	2.9235	1.021
Wfdc1	0.0	0.0	0.0	0.0	0.0
Stt3b	35.1875	35.556	39.2405	40.884	43.391000000000005
Pyroxd1	9.969	11.147	12.032	10.300999999999998	12.574000000000002
Nat8l	1.8595	0.8079999999999999	0.1755	0.1165	0.0405
Ccdc141	0.047	0.2885	0.4085	0.5725000000000001	0.7560000000000001
Rfk	13.404000000000002	18.194000000000006	24.0415	24.0485	25.816999999999997
Grin2a	0.0	0.0	0.0	0.0	0.004
Oas1h	0.029	0.0385	0.0915	0.125	0.0425
Katnbl1	4.2415	6.3420000000000005	7.9479999999999995	7.563	7.3415
Myb	23.8495	30.354	46.01900000000001	52.5925	58.681999999999995
E2f1	2.7015	2.6655	3.4575	4.3765	4.5435
Lce1a1	0.0	0.0	0.0	0.0	0.0
Rars2	4.33	6.723000000000001	11.227999999999998	13.2975	13.5985
Snx19	5.7955000000000005	7.382000000000001	9.1915	8.7905	9.203
Gltpd2	0.0	0.0	0.0	0.0	0.0
Esyt3	0.083	0.1	0.023	0.047	0.033
P2ry13	1.5730000000000002	1.382	1.6130000000000002	1.5805	0.8480000000000001
Hpcal4	0.0055000000000000005	0.0	0.0	0.009000000000000001	0.0175
Rfx4	0.0505	0.0325	0.0265	0.0	0.0
Fis1	89.56299999999999	72.5345	76.491	77.9125	87.624
Negr1	0.0	0.0	0.0	0.0315	0.0
Pcdhb7	0.0	0.0	0.0	0.013500000000000002	0.0
Gm973	0.38299999999999995	0.1155	0.053	0.0265	0.008
Tmem241	2.0915	1.8230000000000002	1.44	0.9645	0.8380000000000001
Myl1	0.0	0.0	0.0	0.0	0.0
Ddx51	4.3035000000000005	6.1275	9.619	11.113	11.5525
Erh	0.7055	0.39299999999999996	0.59	0.6525000000000001	0.6935
Rab11fip4	6.3005	4.5335	3.3810000000000002	3.7885	3.8465
Ffar3	0.0	0.0	0.0	0.039	0.011
Zfp148	9.083	11.3615	10.6755	9.9935	9.7655
Olfr298	0.0	0.0	0.0	0.0	0.0
Gabpa	15.39	20.462	26.098000000000003	27.924	24.757
Tecpr1	62.0515	46.2955	31.55	29.4585	29.686999999999998
Gcc1	8.354000000000001	10.003	10.3255	9.8175	10.2575
Tmtc1	0.003	0.0145	0.0	0.0275	0.0245
Lhb	0.0	0.0	0.0	0.0	0.0
Abca3	11.923	9.5325	7.6615	7.946000000000001	7.4935
Fbxl17	2.2335	1.809	1.9885	2.184	2.081
Rimbp3	0.0	0.021	0.026	0.016	0.07400000000000001
Szt2	9.1755	9.009	8.137	8.51	8.895999999999997
Mrpl16	11.608	22.0945	35.596	35.0245	44.42
Inpp5d	41.33500000000001	28.5875	18.8835	18.057000000000002	15.113
Hspa1l	0.91	0.9795	1.1035	1.069	0.97
Zfp275	6.8265	11.7235	13.8975	13.289000000000001	13.6955
Osbpl11	13.9425	15.584000000000001	13.7205	13.0505	14.039000000000001
Dnm3	0.092	0.113	0.081	0.0245	0.063
Park7	63.34	97.4385	119.592	103.7965	116.01
Ripk4	0.0	0.0	0.13699999999999998	0.14950000000000002	0.117
Nup88	19.2105	29.283	41.766000000000005	43.99500000000001	48.9015
Hoga1	0.0	0.0	0.048	0.0	0.011
Sez6l2	1.039	0.9635	0.9615	1.4385	1.0705
Gm996	0.253	0.115	0.401	0.6080000000000001	0.6865
Faf1	8.414	10.450999999999999	14.839	14.802	16.085
Chgb	0.0365	0.0365	0.0145	0.0	0.013500000000000002
Tmem190	0.0	0.0	0.1025	0.6659999999999999	0.15949999999999998
Olfr148	0.0	0.0	0.0	0.0	0.0
Fbxl20	16.4675	12.7125	8.523	8.504999999999999	7.1395
Llgl2	5.2045	3.315	3.3185	3.0540000000000003	3.7885
Fes	57.8265	29.212	12.219000000000001	10.7605	6.157
Cenpe	2.1325000000000003	1.5905	1.3985	1.4040000000000001	1.3475
Zcchc2	10.842	10.604000000000001	11.4845	12.1485	11.7545
Lyst	32.32599999999999	21.4305	9.3235	9.022	5.615
Rnf148	0.0	0.0	0.0	0.0	0.0
Pus3	7.983	15.417000000000002	22.498	21.991999999999997	20.1535
Lrrtm1	0.0	0.0	0.0	0.0	0.0
Vmn1r58	0.0	0.0	0.0	0.0	0.0
Col6a5	0.0085	0.0	0.0	0.0	0.0
Tmem186	7.4239999999999995	8.885	10.2535	11.327	10.872
Olfr957	0.0	0.0	0.0	0.0	0.0
Trappc3l	0.0	0.0695	0.0	0.0	0.0
Alg6	1.4085	1.1079999999999999	1.2919999999999998	1.7530000000000001	1.3544999999999998
Ept1	3.8789999999999996	6.1015	10.5375	11.5225	12.1045
Fam103a1	5.0139999999999985	4.08	4.1724999999999985	3.9885	4.553
Picalm	71.13	79.53299999999999	70.542	60.7805	48.8575
Vmn2r99	0.0	0.0	0.0	0.008	0.0
Fam222a	0.947	0.6545	0.379	0.3545	0.2905
Fkbpl	5.5305	6.705	3.9455	4.0295	4.9350000000000005
Fmod	0.0	0.0	0.0	0.0	0.0
Pi16	0.13699999999999998	0.1135	0.07	0.0935	0.066
Sh3bgrl3	286.3655	272.17650000000003	262.7665	230.9175	238.8515
Tuft1	1.0505	1.1665	1.243	1.082	1.1545
Pam	2.3369999999999997	1.798	1.4555	0.7085	0.7040000000000001
Pvr	9.7745	10.864	13.853	12.7695	13.9485
Olfr905	0.0	0.022	0.0	0.0	0.0
Csta1	0.0	0.015	0.0475	0.0	0.031
Stk17b	118.9485	123.554	80.851	60.965	47.39450000000001
Ttbk2	2.1375	2.197	1.84	1.745	1.7455000000000005
Larp1b	6.8895	7.333500000000001	10.2825	9.996	11.4675
Ocel1	10.6205	8.216000000000001	5.7799999999999985	4.997	4.9375
Sp9	0.0	0.0	0.0	0.0	0.006500000000000001
Itpr3	12.1475	7.939	4.3605	4.267	4.033
Ceacam16	1.05	0.287	0.096	0.183	0.24
Arhgdib	702.63	443.737	258.5245	217.6085	174.4025
1700037C18Rik	2.1745	2.832	2.4785000000000004	2.258	4.0235
Usp17la	0.01	0.0	0.0	0.0	0.0
Ifnb1	0.0	0.0	0.0	0.0	0.0
Vprbp	9.091	17.197499999999998	24.052	25.403000000000002	26.5525
Ace	0.5575	0.185	0.0285	0.0385	0.0
Lrrc16a	1.0895	0.494	0.6035	0.6385000000000001	0.8065
AI467606	77.08	50.8505	25.4995	22.6175	18.657
Slu7	22.029	28.430999999999997	33.3115	35.9565	30.519000000000002
Xrcc4	5.8425	9.241	10.657	9.6135	10.6365
Wfdc3	0.0	0.0	0.0	0.0	0.0
Peli3	0.8190000000000001	0.7775000000000001	0.459	0.29700000000000004	0.3625
Olfr1412	0.0	0.0	0.0	0.0	0.0
Zfp35	6.13	9.1835	10.586	11.637	12.029000000000002
Olfr958	0.0	0.0	0.0	0.0	0.0
Pomt2	3.1755	4.013	5.885	6.6645	6.504
Dazap2	163.97899999999996	158.6845	138.904	128.4665	125.405
Gsg1	0.0405	0.017	0.0	0.0	0.0
Fam221b	0.0	0.0	0.0295	0.012	0.0
Sephs2	44.842	33.042	27.057	29.502	32.528
Sult3a1	0.0	0.0	0.0	0.0	0.0
Pcdhb13	0.0	0.0	0.0	0.0055000000000000005	0.01
AI464131	0.0	0.012	0.018500000000000003	0.0	0.018000000000000002
Pnma5	0.0	0.0	0.0175	0.0	0.0
Unc13a	0.1	0.0985	0.14550000000000002	0.1135	0.19399999999999998
Apoc3	0.0	0.0	0.0	0.0	0.0
Cox7b	26.8905	37.636	55.57	57.8275	65.4125
Sgms2	12.8415	9.0305	4.3375	3.7960000000000003	1.5455
Gm8300	0.0	0.0	0.0	0.0	0.0
Usp25	35.984	30.3085	28.085	26.035	22.939
Wdr81	14.186	8.7415	6.2355	6.040000000000001	5.5985
Hspb8	0.0	0.0275	0.0285	0.0	0.0
Mpg	4.5755	5.0385	6.1004999999999985	6.0495	6.446000000000001
Gga3	19.383	19.006	22.693000000000005	22.906	23.654000000000003
Gulp1	0.0585	0.124	0.006500000000000001	0.008	0.0
Lypd8	0.0	0.0	0.0	0.0	0.0
Gstk1	1.4974999999999998	1.8315	0.7595000000000001	1.183	0.7879999999999999
AI593442	0.0	0.0075	0.0045000000000000005	0.0035	0.005
Dpagt1	9.1415	11.552999999999999	16.612000000000002	21.6535	20.075000000000006
Pikfyve	6.699999999999998	7.4380000000000015	6.192500000000001	5.651	5.3264999999999985
Lgals4	4.731	4.51	1.9235	1.62	1.6365
Col27a1	0.5225	0.9505	1.1495	0.9665	0.955
Plin3	39.27799999999999	24.202	14.482499999999998	13.862000000000002	11.549000000000001
Tbxas1	7.0685	3.87	2.526	2.4105	1.274
F830045P16Rik	0.0385	0.0	0.0	0.0	0.0
Arc	6.7225	2.259	3.072	3.255	3.551
Cdh24	2.9605	2.3895	2.4515	2.5075000000000003	3.05
Serpina3a	0.0	0.0205	0.0	0.0	0.0
Usp16	17.365	26.0575	32.989000000000004	33.2815	33.347500000000004
Arfgap1	14.1545	17.2575	21.6405	22.373	23.184
Whsc1l1	60.03699999999999	56.3625	48.487	42.02	40.451
Snrpf	7.557499999999999	11.3585	22.3855	22.714	23.0455
Tubb4b	30.151	51.306999999999995	73.2745	71.15	77.73150000000003
Trappc2l	19.3455	18.046	20.0245	17.881	18.2525
Hoxa5	0.542	0.272	0.0765	0.1005	0.069
Serpinb3b	0.0	0.0	0.0	0.0	0.0
Havcr2	1.935	1.3975	1.554	2.255	3.447
1110032F04Rik	2.8539999999999996	3.773	8.883	12.6325	13.5425
Per2	1.2345000000000002	1.0490000000000002	1.2715	1.39	1.257
9030025P20Rik	1.0725	0.6385	0.96	0.7005	0.6435
Tekt1	0.0	0.0	0.0	0.0	0.0
Gm826	0.0	0.0	0.0	0.0	0.0
Calml4	0.029	0.21600000000000005	0.182	0.0	0.0
Olfr1201	0.0	0.0	0.0	0.0	0.0
Nrxn2	0.0455	0.07550000000000001	0.043	0.0585	0.022500000000000003
Tmx3	17.516	22.9005	22.5705	19.4405	19.3945
Kmt2b	25.9825	25.5975	26.3715	28.535999999999998	30.1405
Ccdc94	6.337999999999999	11.195	15.5985	13.15	14.464
Prr27	0.0	0.0	0.0	0.0	0.0
Slc25a23	13.630999999999998	7.995499999999999	3.9125	3.81	2.227
Asnsd1	45.571000000000005	45.2725	37.4885	33.9735	28.775
Cog2	14.5665	15.8905	17.8765	17.484	18.643
Zcchc8	17.116	17.320500000000006	15.838	17.7135	17.1965
Ano9	0.0	0.0	0.0	0.0	0.0
Habp2	0.0	0.0	0.0	0.0	0.0
Slc7a4	0.165	0.023	0.10099999999999999	0.10400000000000001	0.131
Tank	39.2925	45.196999999999996	51.7515	46.576	39.279
Asf1b	8.5275	7.715	9.3435	8.2575	8.243500000000001
Rusc1	15.174000000000001	12.052999999999999	8.0775	6.86	5.924
Atf7	6.319	6.183999999999998	6.06	6.207999999999999	6.495
Timp4	0.0	0.0	0.0	0.0	0.0
Pi4k2b	3.1580000000000004	3.2925000000000004	4.0845	4.8290000000000015	5.715999999999998
Zfp105	0.309	0.1025	0.1655	0.1495	0.23050000000000004
Rbm14	18.1665	22.1895	29.3715	27.5635	34.4625
Spink12	0.0	0.0	0.0	0.0	0.0205
Mms19	14.965	16.346	16.54	18.058	17.0825
Olfr821	0.0	0.0	0.0	0.0	0.0
Kcns3	0.0605	0.0215	0.0	0.0	0.0
