Gene symbol	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h
Pecam1	32.317	22.893	11.8515	11.8275	8.4705
Ccdc32	5.0985	5.471	6.3839999999999995	5.396	6.1995
Fhod3	0.0215	0.0	0.009000000000000001	0.022	0.0475
Arid5b	10.847	9.2075	9.538	11.0125	9.6685
Speer4e	0.0	0.0	0.0	0.0	0.0
Gprin3	2.9245	2.325	1.9785	2.081	1.6435
Smad6	0.632	0.293	0.073	0.122	0.061
Fam45a	9.555	13.268999999999998	14.517000000000001	13.645999999999999	12.7705
Mcm5	9.503	16.301000000000002	28.249000000000002	28.643	34.3725
2410089E03Rik	4.334	4.251	3.639	3.1395	3.2715
Ppp1ca	255.84	274.6565	289.567	282.2225	317.92
Pno1	11.9395	29.9695	62.952	68.57849999999999	68.652
Vmn2r75	0.0	0.0	0.0	0.0	0.0
Gtf3c3	4.0495	4.3695	5.8205	5.3605	5.4135
Mstn	0.0	0.018500000000000003	0.0	0.0175	0.006500000000000001
Rhox2g	0.0	0.0	0.0	0.0	0.0
Col6a1	0.0	0.0105	0.0	0.018000000000000002	0.0115
Sdcbp2	3.4455	3.5755	3.343	4.8035	7.449
Ctla4	21.767	26.82	37.2165	45.946999999999996	59.367
Gm4724	0.0	0.0	0.0	0.0	0.0
Catsper1	0.0125	0.0	0.0	0.0	0.0
Ndufaf3	6.596	6.9594999999999985	8.208	8.4245	9.3945
Ccl8	0.0	0.0	0.0	0.0	0.0
Taf9b	3.361	4.772	5.83	5.712999999999999	4.972
1700003F12Rik	0.0	0.1685	0.1065	0.0645	0.077
Mprip	10.695	8.96	8.112	7.751	8.5945
Usp5	17.682000000000006	24.3845	29.758000000000006	30.3445	35.7015
1700006E09Rik	0.0	0.14800000000000002	0.0	0.0	0.0
P2rx5	0.4105	0.28700000000000003	0.2745	0.3955	0.2575
Gpr137c	0.5275	0.6295000000000001	0.08	0.087	0.069
Trpm2	23.9945	15.093	4.7265	4.169	1.97
Depdc5	5.862500000000002	5.917999999999998	5.5945	5.349	6.002999999999999
Cybrd1	0.14300000000000002	0.1725	0.1335	0.132	0.07400000000000001
Mettl21c	0.0	0.107	0.103	0.022	0.026
Olfr103	0.0	0.0	0.0	0.0	0.0
Dok1	25.0005	17.839000000000002	18.0315	15.862	17.148
Myl10	4.0975	2.0315	2.0665	1.7945000000000002	0.7015
Olfr1382	0.0	0.0	0.0	0.0	0.0
C77370	0.0095	0.01	0.002	0.004	0.0105
Pea15a	17.853499999999997	12.7585	10.3885	8.5845	8.7115
Olfr987	0.0	0.0	0.0	0.0	0.0
Tacc2	1.845	1.1255000000000002	2.714	6.446000000000001	7.0335
Pgls	52.0925	61.173	68.757	57.4135	68.738
Gbp2	21.087	19.838	111.5975	162.0865	242.4385
Spic	11.1465	2.5035	0.867	0.34550000000000003	0.5325
Entpd6	6.797000000000001	7.895	10.4845	11.419	11.921
Ubap1l	0.3095	0.188	0.2505	0.1845	0.14
Iah1	11.7165	16.2275	15.169	14.6375	14.1285
Acaa2	22.465999999999998	15.111	13.3715	12.1245	9.472
Hsd17b1	0.556	0.7145	0.1555	0.4575	0.1555
Arl6ip4	27.851999999999997	23.225	28.3235	31.274	33.3185
Fam171a1	0.1165	0.1145	0.069	0.095	0.0885
Dcdc2c	0.0	0.0	0.018000000000000002	0.0	0.0
Rbpj	4.59	5.807	9.058	12.016000000000002	13.2205
Pglyrp2	8.128	28.545	16.2935	8.1765	4.5765
Gp6	0.5045000000000001	0.036000000000000004	0.0	0.0	0.049
Klf4	6.144500000000002	4.055	4.668	3.6919999999999997	4.0085
Rab3ip	9.7595	12.401	10.649000000000001	9.595	8.5835
Mkks	5.303999999999999	6.6205	7.3155	6.9005	7.011000000000001
Olfr904	0.0	0.0	0.0	0.0	0.0
Rpl21	0.6265000000000001	0.8275	1.1845	1.101	1.7505
Golga2	15.8515	15.582	15.486999999999998	15.982000000000001	17.3705
Olfr742	0.0	0.0	0.0	0.0	0.0
Nphp3	0.6819999999999999	0.6	0.532	0.5725	0.353
Aacs	19.81	17.997500000000006	16.2785	15.962	15.194
Neurl2	2.6935	1.1855	0.7749999999999999	0.5945	0.5465
Uck2	29.8515	48.001999999999995	81.816	81.375	91.831
Olfr429	0.0	0.0	0.0	0.0	0.0
Olfr891	0.0	0.0	0.0	0.0	0.0
Fam60a	0.5145000000000001	0.5885	1.3125	1.2240000000000002	1.6315
Alkbh1	9.35	20.2595	30.777	34.6275	31.0515
Tada1	11.9615	15.132	15.7805	14.3485	14.305
Terf2	14.7265	15.149000000000001	15.5485	14.825	15.055
Ptbp3	74.658	76.6245	62.4025	61.1745	52.5685
Pilrb1	10.328	5.2985	3.0175	3.843	2.048
Ccdc92	2.8875	3.2665	2.971	3.0205	3.0215
Sim1	0.0	0.0	0.0	0.006500000000000001	0.0
Klf7	15.508	14.850499999999998	11.8015	11.3925	10.037
Gm6537	0.9470000000000001	1.0775	1.7995	1.7880000000000005	1.3015
2410016O06Rik	16.738500000000002	19.396	23.8615	27.8455	26.147
Fbxo4	4.616999999999999	3.0985000000000005	3.4215	3.073	2.786
Zcchc5	0.0	0.0	0.0	0.0	0.0
Cyp27a1	3.5375	0.626	0.49	0.28900000000000003	0.17600000000000002
Hhipl1	0.0	0.0	0.0	0.0	0.0
Fam50a	32.2525	38.6845	45.4485	44.8555	41.4115
B3gnt9	2.707	2.7385	2.1435000000000004	1.8419999999999999	1.921
Pgbd1	0.446	0.53	0.9655	0.6940000000000001	1.364
Pacrgl	2.474	3.1460000000000004	3.6035	3.9525	5.0710000000000015
Tmcc3	6.5775	3.069	3.2825	2.4145	2.0515
Usp14	8.8595	16.0355	25.2605	25.3175	26.923
Cspp1	7.6515	8.8315	7.5085	7.714499999999999	6.599
Vmn2r10	0.0	0.0	0.0	0.0	0.0
Gm14374	0.0	0.0	0.0	0.0	0.0
Pank2	14.4225	17.08	15.806	15.758	15.578500000000002
Prl2c1	0.0	0.0	0.0	0.0	0.0
Slc35f6	9.8675	6.08	4.7985	4.5950000000000015	4.4155
Hexb	34.30500000000001	24.6495	14.826	13.31	8.764
Ubxn2b	3.2365000000000004	4.06	5.1	5.712999999999999	5.126
Tmem196	0.0	0.0055000000000000005	0.0	0.0055000000000000005	0.0
Pthlh	0.0	0.0	0.0	0.0	0.0
Zmat3	2.4625	3.854	6.4155	7.3465	9.4685
Olfr632	0.0	0.0	0.0	0.0	0.0
Kdm6a	16.57	18.2285	17.8175	17.526500000000002	15.3085
Ipo7	20.1425	36.32	59.5395	67.757	68.533
Stk11	59.1355	54.072	55.5805	55.617	56.806999999999995
4933402P03Rik	0.0	0.0125	0.0245	0.026	0.0
Mrpl49	10.178999999999998	15.0445	20.070500000000006	20.791	23.1645
Asic3	0.2505	0.1945	0.085	0.068	0.0945
Vmn2r94	0.0	0.0	0.0	0.046	0.0
Ankrd46	17.0055	20.794	18.642	21.904	21.5155
AF067063	0.0	0.0	0.0	0.0	0.0
Limk2	11.838	10.9285	9.181	8.2815	8.2635
Olfr1061	0.0	0.0	0.0	0.0	0.0
Pmvk	23.5155	9.341	10.6495	12.206499999999998	14.2875
Pla2g6	3.859	4.6549999999999985	4.817	5.9655000000000005	5.9195
Iqsec1	22.7495	16.243000000000002	8.525	8.217500000000001	6.4785
Scd4	0.0325	0.008	0.055000000000000014	0.1435	0.0295
Kidins220	22.929000000000002	19.888	15.106	15.097	14.392999999999999
Pacs2	23.6055	14.41	12.9175	12.505	12.340999999999998
Gpr139	0.0	0.0	0.0	0.0	0.0
Carkd	15.132	10.232999999999999	11.954	9.8555	10.3795
Icos	20.813000000000002	22.904000000000003	76.3275	80.8635	82.516
Tmem160	30.516	19.410999999999998	21.8675	24.787	26.316
Plg	0.0	0.0075	0.0	0.0	0.0
Clic3	2.2965	0.7084999999999999	0.8835	0.836	0.6960000000000001
Olfr710	0.0	0.0	0.0	0.0	0.0
Gnl2	13.873	29.212	46.907	55.321000000000005	56.5295
Cntn3	0.0	0.0	0.0	0.0	0.0
Fan1	1.5635	1.9775	2.0815	2.9645	2.7005
