gene symbol	pc1	mouse_spleen_and_lymph_nodes_th0_cells	mouse_spleen_and_lymph_nodes_th17_cells	mouse_spleen_and_lymph_nodes_exfoxp3th17_cells	mouse_spleen_and_lymph_nodestreg_cells
hltf	0.007857514611925158	23.537674999999993	-13.231225000000002	-10.893525000000004	0.5870749999999987
hmha1	-0.01246501996365427	333.35800000000006	-257.93199999999996	146.32499999999982	-221.75099999999998
hmox1	-0.0033709055731944737	-10.346664999999998	4.972455	-0.8302449999999979	6.204455000000003
hnrnpc	0.0037512010593032173	-0.44474999999997067	17.07325000000003	-3.9427499999999895	-12.685749999999985
hnrnpc	0.0037512010593032173	-51.58750000000009	-25.327499999999873	267.40250000000015	-190.48750000000018
hp	-0.013435945316227016	0.26877675	0.16185674999999988	-0.13919325000000005	-0.29144025000000007
hspa8	0.006147567805434261	253.14750000000004	53.08750000000009	-653.9424999999999	347.7075
hspa8	0.006147567805434261	-149.85249999999996	-28.262499999999818	238.6875	-60.57249999999976
hspa8	0.006147567805434261	242.58249999999953	-534.4674999999997	771.7725	-479.8874999999998
hspa9	0.014062035893420631	-73.46124999999995	193.18275000000006	-186.58224999999996	66.86075000000005
hspa9	0.014062035893420631	-140.10625000000005	316.96975	-243.12125000000003	66.25774999999999
hspa9	0.014062035893420631	-3.2813274999999997	0.6910325000000013	-0.881127499999999	3.4714225
hspa9	0.014062035893420631	-7.663099999999993	-0.11650000000000205	-27.169399999999996	34.949
hspa9	0.014062035893420631	-0.3887874999999985	-1.8692375000000006	0.41844250000000116	1.8395825000000006
hspd1	0.003950001323713589	-242.005	272.4390000000001	-337.2529999999998	306.81899999999996
hsph1	0.005504520601593664	-47.99262500000001	44.706875	1.5708749999999867	1.7148749999999922
hsph1	0.005504520601593664	-91.00825000000006	63.705749999999995	20.431749999999994	6.870749999999987
hvcn1	-0.002474533529652075	30.66930000000002	-104.29089999999997	152.95030000000003	-79.32869999999997
iars	0.0031411417946974533	-155.91174999999998	296.87625	-204.78175	63.817249999999945
iars	0.0031411417946974533	-45.21500000000003	112.868	-81.28000000000003	13.626999999999981
ifi30	-0.0037196387834237937	106.31374999999986	-22.57824999999997	-173.58724999999995	89.85175000000004
ifitm2	-0.002984570494764577	-51.97324999999999	-124.03324999999998	-141.43525	317.44175
igfbp4	0.004790811483947118	6.349595000000001	60.158295	-37.197784999999996	-29.310104999999997
igfbp4	0.004790811483947118	43.511750000000035	293.0447499999999	-155.09284999999994	-181.46364999999994
igfbp4	0.004790811483947118	358.35199999999986	1095.8519999999999	-669.5490000000001	-784.6550000000001
igfbp4	0.004790811483947118	145.8114999999999	664.0065	-371.82950000000005	-437.98850000000004
igfbp4	0.004790811483947118	554.8620000000001	1544.362	-862.778	-1236.446
igfbp4	0.004790811483947118	738.6849000000002	1685.2049000000002	-1128.6131	-1295.2767
igj	-0.004973644097755566	-3.1364650000000003	-5.005465	-2.2738049999999994	10.415735000000002
igsf6	-0.003343762363882953	-0.02746900000000002	-0.01898500000000003	0.010531999999999986	0.03592200000000001
igtp	0.00743258275665106	-578.0295	-155.87649999999985	-1094.5575	1828.4634999999998
il16	-0.0025144189272710165	37.513000000000034	-153.64300000000014	564.18	-448.04999999999995
il16	-0.0025144189272710165	0.6956249999999997	-3.3428749999999994	20.935625	-18.288375
il16	-0.0025144189272710165	-2.160287500000001	-1.3117674999999993	9.8950725	-6.423017500000001
il16	-0.0025144189272710165	36.42867500000003	-33.38532500000002	99.00567500000002	-102.04902499999997
il17a	0.005196496731337926	-1.5299925000000023	1.1895574999999994	0.7863875	-0.44595250000000064
il17ra	-0.003033031819372837	44.343999999999994	-30.084000000000003	5.053999999999974	-19.314000000000007
il17ra	-0.003033031819372837	195.93425000000002	-95.51675	81.77925000000005	-182.19675000000007
il2	0.008067803500311463	9.253686499999999	4.031086499999997	-2.343043500000002	-10.941729500000003
il21r	0.0031675288125417784	1.9710249999999974	66.28502499999999	-68.40707499999999	0.15102500000000418
il2ra	0.011723062239970649	-539.5492750000001	590.803725	-701.6081750000001	650.3537249999999
il2ra	0.011723062239970649	-805.31	727.0390000000002	-1348.638	1426.909
il2rb	0.006873437978539772	-42.47160000000001	-15.770700000000005	-26.63620000000001	84.8785
il2rb	0.006873437978539772	-233.97875	-31.96674999999999	-186.88275	452.82824999999997
il6ra	-0.0020996992456538367	14.9345	5.636100000000013	-2.400599999999997	-18.169999999999998
il6ra	-0.0020996992456538367	294.47450000000003	-52.980500000000006	66.96349999999995	-308.45750000000004
irf1	0.004938157925168821	-51.21224999999998	-156.19125	-96.41024999999999	303.81375
irf4	0.015016617974960463	-294.826975	650.644025	-324.02407500000004	-31.792974999999956
irf4	0.015016617974960463	-6.52272	15.271580000000004	-19.30264	10.55378
irf8	0.004440497036503806	-162.41597500000003	123.00132500000007	-116.40267500000003	155.81732499999998
irf8	0.004440497036503806	-78.35464999999999	54.29645000000001	-41.82725	65.88545
itga4	-0.002569652961800416	4.958907000000002	-8.234060999999999	2.317507000000001	0.9576470000000015
itga4	-0.002569652961800416	2.592621	-2.4145630000000002	0.48099099999999995	-0.6590490000000002
itga4	-0.002569652961800416	58.154375	-43.78072499999999	6.31857500000001	-20.692224999999993
itga4	-0.002569652961800416	2.4051474999999995	-1.7049725000000002	-1.1917625	0.49158750000000007
itga4	-0.002569652961800416	20.31906	-19.786379999999994	6.321460000000002	-6.8541399999999975
itgb2	-0.007167461253825731	-272.53	161.59000000000015	430.10000000000014	-319.15999999999985
itgb2l	-0.002974913296915744	-0.40018925000000005	-0.19674625	0.38657774999999994	0.21035775000000012
itgb2l	-0.002974913296915744	1.111646	-0.3430740000000003	-0.3065340000000003	-0.46203800000000017
itgb2l	-0.002974913296915744	2.5188825	1.457302499999999	1.9194925000000005	-5.8956775
itm2b	-0.02168250256371828	-358.6300000000001	-89.2800000000002	988.25	-540.3400000000001
itm2b	-0.02168250256371828	-206.40250000000015	-203.32250000000022	1093.2675	-683.5425
itm2b	-0.02168250256371828	-0.06313000000000013	-1.62061	7.01924	-5.335500000000001
kars	0.0035596254824147243	-3.034999999999968	46.044000000000096	-43.278999999999996	0.2700000000000955
klf3	-0.002275810381690456	53.297805000000004	-24.584284999999994	-29.375424999999996	0.6619050000000044
klf3	-0.002275810381690456	200.16452499999997	-95.77097499999999	-101.17407499999999	-3.2194749999999885
