Gene symbol	Control1	Control2	Anergic1	Anergic2
D13Ertd205e	12.8	17.0	6.0	11.4
C77137	82.7	101.0	38.4	81.3
4933434E20Rik	387.2	423.9	388.1	322.0
Gm14743	92.2	95.8	73.0	124.9
	363.0	387.2	270.7	495.2
Sfpq	185.1	237.5	216.6	154.0
Esrra	124.3	137.1	177.4	142.9
Insr	59.7	108.3	75.9	122.2
Akp3	26.1	41.0	62.6	28.7
Ifna9	84.4	127.9	62.6	110.4
Gm12597 /// Gm13280 /// Ifna1 /// Ifna12 /// Ifna5 /// Ifna7 /// Ifna9 /// Ifnab	47.7	78.4	43.6	198.6
Gm12597	27.2	119.1	25.2	23.5
Adrb1	61.4	35.3	45.8	23.9
Gm16699	212.0	694.0	402.5	560.3
Gm16970 /// Igh-VX24 /// Ighg	29.7	242.4	112.8	102.7
Adck1	24.0	175.8	28.2	102.3
LOC672291	37.5	131.7	84.6	31.0
Gm7202 /// Igk-C /// Igk-V28	1197.1	1272.3	798.3	1005.0
LOC672291	13.2	28.7	25.3	12.8
	80.5	40.5	64.8	73.0
Igh-6 /// Igh-VJ558 /// Ighg /// LOC380804 /// LOC544903	23.4	55.7	35.3	29.7
	50.0	93.1	22.4	173.2
EG547347 /// H2-D1 /// H2-K1 /// H2-K2 /// H2-L /// H2-T22 /// H2-T23 /// LOC547349 /// LOC676708	15425.6	18211.6	15094.4	16107.4
	284.6	294.8	168.5	285.8
	188.0	586.7	202.0	298.4
Gja10	6.7	15.9	3.2	8.8
	289.7	113.9	263.7	357.8
	100.3	111.5	51.0	122.7
	80.7	211.7	98.1	184.1
Olfr92	70.3	22.9	14.3	22.7
Olfr93	108.3	154.7	54.5	88.5
Olfr94	234.5	189.7	160.3	90.4
Nr1i3	354.9	522.0	256.1	525.4
Acsm3	29.9	8.4	3.4	32.5
Eri2	188.1	275.3	82.2	239.6
2810432D09Rik	734.7	738.6	463.4	593.6
Map4k4	18.9	74.7	169.2	17.8
Gna11	262.3	140.1	201.0	120.1
Nucb2	4.8	7.2	2.2	5.3
Kcnn4	947.3	699.0	928.6	1643.7
Tars2	468.4	633.7	291.0	392.8
Aqp8	105.8	149.9	46.5	155.2
Psen1	1348.7	1284.8	1394.8	1452.9
Mpv17	163.6	362.2	387.1	366.3
Endou	15.7	20.9	14.0	22.6
Mafb	18.2	22.1	41.6	11.1
Gnptab	101.8	101.8	11.1	36.8
Fkbpl	78.8	18.0	20.5	22.2
Nrbp2	25.9	29.0	229.6	139.7
St3gal6	86.8	129.8	19.1	59.6
Nfatc1	804.9	602.2	879.1	1037.6
Dtnb	269.6	375.1	200.1	177.4
Sec24b	61.1	37.2	21.7	56.9
Rhox6	20.7	34.2	16.9	26.0
Xirp1	64.0	135.0	80.8	170.2
Prx	59.0	109.2	44.7	116.8
Ift81	108.5	133.7	72.1	160.4
Alox12b	9.1	17.7	174.7	236.5
Grk5	2138.2	2701.5	3373.6	3129.9
Il6	142.7	209.5	38.2	59.7
Rfx2	159.9	133.9	111.8	91.9
Utf1	60.4	175.5	48.9	78.1
Syngr1	64.0	126.7	80.4	177.3
Kdm6a	1019.8	791.8	1535.8	1105.1
Ppl	222.6	415.5	231.6	261.9
Igf1r	312.4	347.1	175.0	238.9
Rabgap1l	1667.5	2135.4	1874.0	1562.8
Cpxm2	48.9	27.4	43.2	27.5
Cpxm2	6.7	33.9	19.1	6.7
Lat	258.7	479.2	246.7	457.7
Nmt2	111.3	105.4	210.6	116.6
Hyal1 /// Nat6	51.0	172.2	84.0	113.3
Creb3l1	640.0	681.8	1031.7	1291.4
Slc39a9	252.8	494.3	276.4	374.1
4833442J19Rik	80.4	79.3	105.6	84.5
1810037I17Rik	789.0	663.4	1441.0	985.7
Mycl1	36.0	22.3	26.7	39.1
Cd28	2493.7	2632.7	4300.5	2324.8
Ascl1	88.2	169.5	49.1	43.0
Bcl3	520.4	408.6	89.8	188.2
Ppargc1a	53.0	52.3	4.9	6.2
Tcf7l2	200.6	266.1	347.6	360.4
Per3	300.0	332.0	263.7	377.2
Ehf	55.7	9.6	6.4	13.8
Prss39	92.7	50.6	22.8	78.4
Ubr1	84.3	150.6	86.5	127.9
Cask	235.0	360.5	270.8	372.0
Avil	269.8	158.0	196.2	274.4
Il27ra	927.8	1845.0	1706.4	2500.2
Trpm1	107.3	175.6	92.8	180.2
Pfdn2	1309.8	678.6	1130.9	679.4
AF067063	23.7	63.1	23.7	18.1
LOC625360	160.6	313.2	88.8	107.4
Osmr	71.6	98.6	32.1	85.8
Tbx15	8.3	9.4	7.0	11.4
Pknox1	400.2	481.9	394.9	624.0
Stra6	36.4	91.6	193.2	248.4
Ywhag	59.5	24.8	143.1	176.0
Gfi1b	44.9	59.4	89.0	96.6
Col13a1	66.7	56.5	23.2	36.0
Col13a1	21.1	38.2	42.8	14.0
Zfp143	132.4	231.5	80.3	153.3
Slfn1	219.4	663.9	207.5	475.1
Myf6	86.7	288.9	155.6	197.0
Inha	31.5	133.9	187.9	176.7
B3galt4	114.8	105.0	79.7	123.3
Rexo1	1079.1	725.5	682.1	570.6
Alox12e	14.6	25.2	15.1	23.2
Zmiz2	3364.5	2794.4	2775.2	3154.4
Cd160	31.0	9.3	7.2	20.1
Atp6v0a2	300.5	344.4	643.6	719.5
H2-Oa	463.6	657.4	308.2	472.0
Zfp185	51.2	16.0	16.1	19.6
Zfp26	195.1	306.3	142.1	200.8
Ppie	228.2	203.2	187.6	175.3
Uba7	2339.7	3211.2	1508.1	1721.0
Pcdh7	2.8	11.8	6.9	35.6
Cd27	28.0	66.1	40.3	104.7
Cd27	173.6	183.5	129.8	67.9
Tiam1	1323.1	1511.4	1792.4	1908.9
Masp1	9.5	4.0	9.0	11.6
Mgmt	59.4	49.7	16.7	21.5
Araf	1433.3	1117.1	1256.1	1279.8
Cd247	319.4	262.5	336.8	353.1
Cd247	19.3	28.9	12.5	58.1
Cr2	42.0	53.6	11.4	31.3
Alox12	34.2	19.0	20.1	32.8
F9	13.5	23.7	8.7	26.5
Gadd45a	50.3	13.5	5.3	13.0
Ikzf1	577.9	1267.2	626.1	1356.6
Ikzf1	36.4	161.2	98.4	128.4
Kcna5	13.6	20.0	7.7	20.3
Pcsk2	131.7	265.2	116.7	176.4
Zkscan6	287.9	293.5	191.6	162.5
Ngf	8.4	13.0	12.9	13.3
Prkca	115.3	132.4	269.6	278.4
Rapsn	842.8	638.6	166.3	263.8
Capza3	35.1	11.5	6.4	4.5
Bckdhb	36.8	36.8	22.4	18.3
Zfp61	366.2	329.9	277.0	351.7
Zfp61	261.9	335.8	214.9	210.3
Gpr37l1	122.9	121.8	119.8	165.3
Hs2st1	119.6	143.9	77.3	89.7
Dcx	38.9	115.6	59.3	90.7
Tulp3	320.1	421.7	408.2	397.8
Zfp326	434.4	202.0	288.7	235.6
Ccl22	1764.9	837.2	2357.5	1190.5
Gp9	70.0	97.7	57.6	98.7
Dda1	180.0	259.9	186.5	269.6
Gch1	35.1	34.4	72.3	89.5
Slc2a4	44.5	39.9	19.4	46.7
Cirh1a	749.6	735.4	265.5	381.0
Capn5	160.4	195.9	357.6	295.7
Vamp4	376.1	555.6	528.5	451.2
St8sia4	2167.7	5774.4	4140.7	5453.5
Snx12	322.1	253.7	377.8	301.6
Snx12	520.1	471.7	590.9	575.6
Adcy6	76.2	129.2	57.5	131.5
Ugdh	1608.1	1703.0	1300.2	1631.5
Hap1	978.2	803.7	791.6	487.9
Dnajc4	435.3	524.8	412.6	526.7
Ncf2	13.9	11.0	74.2	27.0
Aoc3	110.8	144.5	47.3	124.6
Casp8	242.4	330.3	295.0	305.4
Cideb	16.8	40.7	13.6	26.5
Aif1	19.9	97.1	22.6	28.2
St5	100.1	97.6	131.6	211.6
Ulk1	374.3	306.8	649.9	434.8
Epn2	458.5	514.0	310.2	514.9
Dok2	2283.9	1663.5	1073.5	920.6
Kcnk1	146.0	123.2	122.1	195.3
Tmem131	752.7	794.2	683.9	498.7
Fcgr2b	19.9	15.7	5.4	6.7
Pde9a	21.5	36.0	22.5	32.3
Mina	224.8	347.4	237.9	295.9
Gla	72.1	65.8	68.8	83.2
Nsf	225.8	436.3	140.8	526.1
Cd320	231.2	542.9	724.3	791.8
Tcea3	10.4	7.2	5.6	7.3
Lefty1	64.6	386.3	46.5	101.6
Ercc3	515.3	268.0	263.1	294.2
Gm4354	320.7	3056.5	370.4	1603.2
Adprhl2	199.9	62.6	176.9	73.6
Adprhl2	434.0	220.2	261.1	287.7
Cpa3	83.2	68.4	6.8	17.4
Galnt10	105.6	145.6	64.5	82.9
Itgb2	3227.1	4273.9	11411.5	11693.0
Tcf19	807.5	418.0	152.0	304.6
Dcaf11	559.4	553.0	629.7	464.5
C2cd3	220.9	442.5	377.6	340.3
Mthfr	127.5	137.1	49.4	67.0
Junb	1424.3	583.0	4831.3	1566.1
Junb	1472.3	607.7	5020.6	1807.1
Jund	6560.8	8701.4	7125.8	8887.0
Retn	14.1	17.2	73.3	34.8
Lyrm2	410.4	335.5	392.3	415.6
Hsd17b11	13.8	66.4	9.0	43.1
Nr4a1	398.4	220.6	953.6	316.3
Igj	101.8	157.9	64.9	54.4
Enpep	43.5	11.8	34.4	48.3
Rcan3	370.7	522.7	502.9	578.8
Smyd5	310.4	282.2	232.2	96.1
Pcp2	145.2	171.6	114.0	153.7
Sspn	6.5	10.9	9.9	13.6
Rassf1	241.0	260.7	193.7	120.7
Hoxd4	18.8	11.6	23.6	33.9
Acsl4	1116.3	1750.2	2066.1	1464.7
Arntl	1386.6	1130.5	787.6	780.7
Fam117a	516.0	1060.4	524.3	850.1
Smarca2	582.6	416.1	514.0	355.8
Wdr43	1219.1	842.6	587.8	670.9
Rsl24d1	1348.8	763.0	898.2	648.8
Gap43	72.6	51.2	30.1	11.5
Cryaa	131.5	87.2	67.5	86.2
Pmp22	47.0	156.8	45.1	118.5
Ift172	224.0	334.4	253.4	283.1
Cbfa2t3	10.1	18.5	9.7	27.0
Rxrb	1255.2	1412.9	1361.4	1757.0
Rbpms	26.5	27.6	20.4	68.4
Ncbp1	582.7	456.4	393.7	371.7
Irf1	1211.0	1197.4	641.6	652.7
Gbas	1524.1	1284.6	1278.4	1103.9
Cdc45	114.9	193.8	110.9	190.9
Lamc1	87.0	24.8	49.7	85.5
Mag	9.2	18.0	8.8	9.9
Cma1	14.8	37.6	5.8	5.4
Cma1	89.9	106.4	66.0	56.5
Cma1	10.5	24.8	11.9	24.7
Naa38	1183.9	1202.1	1641.0	1430.1
Hs3st1	4.1	2.3	2.3	3.5
Zfp239	268.9	607.5	197.1	521.8
Nup107	891.5	534.7	383.0	390.3
Lmo1	127.1	220.5	92.1	205.0
Dnajc3	790.5	658.3	896.8	487.9
Dnajc3	266.7	346.2	285.7	239.2
Cyp17a1	38.3	48.0	27.8	32.5
Tex19.1	23.6	32.1	16.8	29.3
Rarg	50.5	76.7	35.7	45.4
Lmf1	354.8	507.4	265.6	355.1
Uxs1	47.9	41.8	54.0	43.3
Ccl3	717.4	573.3	4511.1	4603.7
Tle1	8.4	14.3	9.0	8.2
Casq1	283.2	339.0	190.2	323.4
Fyttd1	443.1	519.5	902.7	718.2
Slc22a12	229.8	283.8	176.5	174.3
Myd88	780.0	769.7	497.8	650.2
Mapt	9.5	16.4	7.6	9.9
Xpo7	1027.0	1077.9	1129.0	789.0
	34.8	102.8	32.8	38.7
Fbxw4	260.2	452.0	232.1	427.4
Gja3	15.2	85.1	7.5	50.7
	9.1	31.2	11.8	85.5
Olfr16	16.6	31.5	8.4	23.2
	15.8	18.5	9.1	14.6
Adra2a	199.7	138.2	115.3	139.3
Hist2h2ab	66.9	73.6	53.6	106.9
Hist2h2be	64.5	61.1	125.6	102.0
Bmp2	11.5	11.1	5.7	11.8
Cntn4	12.6	9.7	6.3	9.8
	157.3	146.4	142.5	128.3
	104.0	192.8	107.3	198.4
Dcc	19.0	59.4	16.4	25.4
Hoxd13	11.1	12.7	9.5	13.1
Nobox	21.0	27.5	18.3	27.7
Atoh1	17.8	24.4	11.7	17.9
	133.4	170.5	87.5	177.0
Gjb6	18.9	49.4	20.7	29.8
Rasgrf2	28.6	69.6	18.3	29.6
Nxph1	18.1	27.5	10.8	56.5
Fgf11	31.7	167.2	53.9	116.4
Orm3	394.6	483.9	397.5	329.0
Hrh1	55.3	27.8	42.0	114.4
Kcnab3	158.4	159.1	91.5	71.3
Pax5	15.1	26.3	10.5	36.5
Hoxa6	6.5	14.4	7.6	16.6
Hoxa6	160.7	161.0	171.0	252.4
Mycs	169.4	162.4	141.2	132.6
Apc2	35.5	31.6	29.2	28.2
Olfr138	145.4	82.0	88.1	118.9
Dyrk1b	283.8	417.4	183.9	205.3
Gm1502 /// Gm1524 /// Gm8760 /// Igk-C /// Igkv4-71	206.7	342.4	158.3	248.2
Ror1	20.6	33.1	17.6	26.4
Tpt1	19626.9	29238.0	17102.8	21707.9
Nrl	61.6	157.0	23.1	25.9
Tiaf2	14.0	20.8	15.1	36.7
Prox1	6.9	8.8	36.7	39.6
Fgd3	32.7	38.5	54.4	50.6
Dnajb5	15.0	31.8	15.3	21.5
Cdon	252.8	374.8	273.0	354.6
Clcn1	23.2	96.1	16.0	137.9
Sema3f	8.1	16.8	9.0	9.8
Stc2	173.6	194.6	104.9	122.1
Zfp54	61.7	60.9	43.9	68.1
Zfp54	145.3	133.5	62.2	153.1
Igf2bp1	97.0	32.8	11.1	57.0
Fhit	18.4	18.6	56.6	19.9
Tnf	1033.6	553.2	1366.5	1062.8
Lta	1308.0	1566.3	1639.3	3084.0
Blm	149.6	293.5	101.1	94.8
Aspm	12.9	13.9	15.7	8.6
Grap2	54.7	35.5	21.4	31.6
Vti1a	95.1	71.6	98.1	40.6
Klc2	177.0	79.5	273.2	104.2
Tgfbr3	170.8	210.3	104.2	195.6
Cst7	2147.6	1925.2	4195.1	3382.0
Chst2	36.4	16.2	12.8	20.7
BC051019	28.3	47.7	36.8	12.4
Sfpi1	150.3	267.3	114.9	212.8
Slc11a2	504.6	889.9	711.3	1393.9
Hoxa2	125.6	146.6	145.6	162.5
Mdfic	2770.7	3843.6	5909.9	5722.8
Eea1	337.5	310.0	1213.1	642.5
Usp34	460.5	784.4	524.6	657.1
Usp34	2010.1	2599.6	2179.0	3174.3
Sftpd	18.3	22.8	44.4	18.8
Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e	107.0	221.1	104.0	141.8
Rgs11	482.8	1251.5	148.0	145.1
Gck	137.6	243.4	104.9	208.2
Pou3f1	21.5	20.9	25.1	20.1
Ryr2	2.7	7.4	5.2	23.3
Gata1	59.5	23.7	15.8	24.5
Itga4	235.7	325.1	137.8	227.5
Itga4	598.9	272.4	463.8	184.3
Hlx	43.9	85.2	30.1	45.2
Il1r2	903.9	1644.4	6351.2	5369.1
Cln3	1611.7	1346.5	718.9	882.9
Hoxc4	175.3	297.8	64.1	132.4
Egr2	955.9	657.6	3501.4	7914.3
Asgr2	22.5	21.9	12.3	35.4
Plaur	33.3	33.6	16.4	30.1
Cdk5r1	116.4	121.8	77.8	108.0
Trh	152.6	61.3	119.0	149.6
Tyr	56.7	101.9	28.6	75.2
Wnt3a	83.6	87.5	63.2	30.5
Ppara	122.6	181.7	55.8	177.8
Siglec1	12.3	12.8	5.7	46.2
Vps54	1229.0	731.1	1381.6	746.4
Creb1	75.5	106.1	53.4	102.4
Creb1	55.4	64.5	70.8	44.8
Creb1	65.2	104.1	11.0	100.7
Cnr2	5.3	3.7	2.5	2.4
Zp3	33.0	22.5	45.5	26.5
Vhl	233.7	173.7	167.6	155.6
Arhgdig	5.5	8.6	9.0	10.6
Trim21	608.8	620.9	372.9	517.1
Madcam1	166.5	64.6	123.6	193.6
Madcam1	26.1	38.4	43.9	54.1
Tnfrsf4	1262.1	1751.7	1337.7	1739.9
Epha8	176.9	199.1	145.0	163.2
Slc30a3	901.0	1655.6	881.5	1683.4
Smr2	51.8	104.9	38.1	80.9
Smr2	7.4	65.1	6.6	32.4
Suv420h2	611.4	705.1	960.4	908.9
Suv39h2	54.6	12.9	26.8	38.7
Gzmd	571.5	43.0	292.8	160.9
Tapbp	1745.4	1493.8	1972.8	1645.0
Cyp2b19	20.5	24.7	21.3	27.9
Zfp385a	337.7	449.6	302.5	464.1
H2-D1 /// H2-T18 /// H2-T3	34.4	99.7	22.6	31.8
Klk1b26	40.0	45.8	36.1	52.3
Psg16	19.8	8.6	1.2	6.4
Tcrg-C	185.7	98.8	86.2	111.1
Pitpnb	114.2	136.4	90.5	84.9
Pitpnb	134.4	151.8	83.9	655.8
Epas1	100.2	142.5	78.7	192.3
Mx2	130.6	222.5	83.8	119.2
Tbr1	7.4	22.9	22.0	12.9
Cyp2b10	117.5	60.3	76.2	250.6
Cuedc1	136.0	205.8	181.0	243.4
Aqp4	42.1	33.0	35.5	30.3
Aqp4	32.6	38.6	59.8	41.0
Il2	5.7	5.5	2.8	6.0
Serpina3c	46.5	3.0	18.9	2.6
Serpina3c	261.3	290.8	126.7	183.6
Btn1a1	61.6	62.2	54.6	24.1
Hira	23.2	114.2	38.4	22.8
Apbb1ip	4901.0	7168.3	4043.7	5592.1
Rgs14	2171.2	2121.8	2077.1	2383.0
Saa3	92.5	75.2	68.2	126.8
Gata4	347.5	322.3	255.0	374.9
Hspa1l	188.0	49.2	21.8	134.7
Nr2f1	4.0	6.4	1.0	3.9
Eya3	39.9	118.1	111.0	96.9
Oas1g	15.3	20.9	15.4	29.0
Ccr5	156.9	301.3	298.0	427.4
Ccr5	116.4	213.1	266.6	530.2
Tek	10.2	9.0	7.4	9.7
AI324046	101.1	171.4	97.0	95.6
AI324046	69.9	38.3	27.2	43.6
AI324046	6.6	46.5	7.3	17.6
Rabep1	68.2	114.4	82.5	113.7
Kcnab1	71.5	23.7	6.6	23.4
Tac1	26.9	40.7	53.2	51.0
Bdnf	77.5	137.0	81.5	174.5
Gzmd /// Gzme	301.1	27.7	156.7	25.5
Hsd3b6	10.2	11.9	12.4	17.1
H2-M3	191.0	236.1	216.1	208.8
H2-M3	1515.4	1650.9	1269.8	1387.8
Tln1	286.5	212.7	183.6	294.3
Gzmc	88.6	25.8	9.7	20.3
Birc2	1630.8	1372.1	2321.6	1732.1
Tex9	11.6	87.5	14.8	7.9
Ccl2	10.9	5.0	4.1	7.7
Edn1	47.1	119.5	34.9	42.6
Edn1	122.7	43.1	163.7	163.0
Smr3a	21.0	24.7	12.9	10.8
Mkrn3	13.9	33.1	4.4	57.7
Adar	177.9	365.9	149.6	251.4
Mapt	64.2	82.9	20.5	61.7
Mapt	96.0	396.9	55.4	168.2
Tcrg-V2 /// Tcrg-V4	593.8	48.5	14.7	12.8
Tcrg-V3	133.9	47.7	14.3	55.1
BC089491	16.9	43.5	23.0	35.6
Tcte1	13.4	55.2	114.3	29.3
F5	8.2	48.3	12.1	22.0
Cox7a1	13.7	24.3	18.4	17.2
Apba3	746.2	717.6	462.3	361.7
Tgfb3	159.5	204.9	173.9	142.7
Cyfip1	992.5	1020.5	1841.5	1549.6
Men1	145.8	370.1	104.3	302.5
Birc6	575.0	749.4	692.1	528.3
Itln1	66.6	93.1	165.4	193.3
Rbm6	155.6	114.2	129.9	180.8
Pik3r2	93.5	405.9	158.9	423.0
Grpel2	305.1	323.9	362.8	339.1
Rhag	183.2	197.8	168.0	159.4
Plin4	31.6	17.7	12.3	18.8
Trap1a	40.6	115.4	51.3	112.0
Cops7b	527.9	406.1	424.7	477.0
Mycbp	28.2	9.5	14.8	5.6
Gng12	63.0	136.7	35.4	107.0
Sc5d	99.9	156.3	109.6	125.5
Sc5d	138.7	78.6	108.8	87.0
Gypa	268.4	376.2	192.6	265.9
Setdb1	364.1	746.7	277.5	549.0
Abl1	618.4	769.9	535.3	671.8
Car8	26.2	20.4	31.1	41.8
Egf	117.8	77.2	62.6	50.1
Usp38	932.8	991.4	1094.7	1492.6
	38.5	65.8	29.2	67.0
Cd79a	183.4	237.3	125.1	231.2
Gadd45b	843.0	808.9	1183.4	1145.4
Srxn1	255.2	306.5	340.2	393.9
Ccnl2	3065.9	3971.5	2868.1	3333.2
Riok1	889.6	309.6	415.9	201.6
Fggy	172.3	266.4	125.6	152.9
Os9	562.4	520.5	519.9	467.7
Matn1	9.8	9.0	5.1	5.9
Clcn3	4070.9	2887.1	2615.1	1653.1
Gpr56	258.4	65.9	32.0	50.2
Pitx2	6.5	6.7	8.0	9.6
Gata2	135.5	259.2	164.4	283.5
Jtb	7626.1	8030.5	5832.3	6666.2
Psmb8	10181.0	10066.5	8074.2	6846.1
Ung	435.0	466.3	305.6	478.3
Krtap8-1	53.3	14.2	34.8	70.9
Cxcr4	894.7	297.5	662.0	242.0
Mesp1	54.5	56.2	38.0	70.8
Npm3	641.9	609.6	411.8	330.6
Dhrs3	540.4	505.9	745.6	968.0
Adm	13.5	17.8	5.0	32.1
C4bp	29.2	9.5	24.7	5.0
Foxc2	84.4	124.3	55.8	117.1
Bglap-rs1	124.6	326.8	87.0	296.9
Il18	139.9	144.0	105.6	173.1
Lig3	166.9	279.8	180.5	248.5
Ceacam1 /// Ceacam2	1162.2	1422.0	921.9	1415.4
Ceacam1	312.2	339.4	211.6	268.5
Ceacam1	184.1	231.5	151.8	245.7
Prune	1198.8	1621.5	1229.3	1715.4
Scn1b	19.9	117.1	126.4	203.5
Lck	9705.9	9397.5	8109.0	8167.6
Ext1	128.1	153.5	145.9	147.9
Uba5	1051.7	762.1	562.4	640.8
Uba5	522.1	334.8	541.3	335.2
Defa-rs1 /// Defa-rs7 /// Defa17 /// Defa23 /// Defa26 /// Defa3 /// Defa4 /// Gm14851 /// Gm15284 /// LOC100046144	86.6	140.6	22.1	41.8
Anxa11	3590.4	2719.3	2860.7	2347.5
Serpina3m	19.1	5.8	4.6	10.6
Zrsr1	594.2	347.3	539.9	423.5
Gm10058 /// Gm10230 /// Gm10486 /// Gm10488 /// Gm14525 /// Gm14632 /// Gm14819 /// Gm2012 /// Gm4297 /// Gm4836 /// Gm5169 /// Gm5934 /// Gm5935 /// Gm6121 /// Slx	11.9	1663.0	12.0	1339.5
Nap1l2	10.7	25.0	21.9	17.9
Cyp2b13	15.4	24.1	10.3	14.8
Ran /// Rasl2-9-ps	3857.4	4189.0	2605.9	3533.5
Gzmf	54.2	70.4	6.9	28.8
Ighg	14.7	19.9	12.3	10.7
Igh-3 /// Ighg	61.9	68.4	4.2	23.5
Ighg	16.4	44.0	23.6	14.9
Akr1b7	284.6	94.0	190.3	312.7
Nek7	4099.0	3713.6	7137.2	7115.0
Map2k6	15.0	24.4	6.4	14.5
Map2k6	60.3	116.2	48.3	78.8
Cd86	11.3	9.3	8.1	8.3
Cd86	85.1	50.6	66.0	104.5
Adam1a	183.5	173.0	115.6	107.5
Cbx2	117.2	291.9	33.5	59.6
	14.7	31.6	19.9	22.0
Ap2a2	692.8	658.3	660.3	648.5
Inpp5k	1195.6	1445.2	1434.6	1758.6
Sell	78.6	92.3	41.2	117.8
Plscr1	727.8	563.2	810.4	733.0
Ptpn12	43.7	172.8	60.5	60.6
	526.6	475.7	320.9	434.9
Ighg	68.4	41.5	11.6	40.0
Ighg	4.8	4.3	8.9	7.5
Pdlim7	63.5	207.1	249.1	178.4
Tssk2	89.2	29.6	42.2	15.0
Cyp2a4 /// Cyp2a5	13.8	20.2	39.6	25.4
2610524H06Rik	1425.4	1071.6	3159.0	2429.0
Kcnj8	98.2	123.3	86.0	87.1
Tnk2	2288.5	1817.5	1287.9	1533.2
Ptpn6	882.1	1028.8	335.7	338.8
Cdh2	12.1	68.6	4.5	43.3
Smc3	392.3	561.2	291.9	479.9
Atp7a	159.6	320.7	231.9	198.4
Sox10	202.2	234.9	185.8	239.8
Akap4	12.8	15.4	7.0	38.1
Pkib	1725.6	1329.7	1785.7	1322.4
Reep1	63.5	71.3	67.1	108.8
Serpina3g	4474.6	3887.1	1227.8	1788.6
Slc22a18	174.4	235.1	101.6	314.4
C2cd2	27.8	21.4	16.1	24.4
Zkscan1	439.2	332.5	354.0	291.1
Hoxa7	14.1	21.2	13.0	29.7
Smad5	14.2	62.1	52.2	20.8
Tead4	339.8	412.1	300.2	518.2
Tead4	140.5	129.0	90.7	107.9
Tead4	16.8	10.8	7.1	24.9
Efna2	149.9	192.7	132.6	81.5
Dynlt1a /// Tmem181a	727.9	822.2	806.0	675.2
Ephb6	120.8	71.2	203.2	246.5
Zfp51	308.1	360.7	218.1	231.1
Tap2	1860.5	2081.9	2643.7	2189.0
Ptpn11	21.9	13.8	11.1	11.6
Rps6kc1	96.0	170.3	108.6	102.2
Gzmg	78.0	96.1	32.0	101.0
Gzmb	80.5	172.1	58.0	171.6
Rad52	321.7	341.3	294.6	256.2
Fcgr1	111.0	167.0	63.7	176.2
Bbs9	207.5	223.1	206.0	79.9
Bbs9	499.8	524.8	307.9	364.9
Zfp46	26.4	24.5	9.2	9.0
Rpap1	566.5	498.3	338.5	452.8
Inpp5d	543.4	801.6	712.4	824.6
Vamp7	216.9	121.3	176.3	89.2
Gpc4	65.4	25.9	50.3	27.6
Tnfrsf11b	104.5	131.6	86.1	101.7
Limk1	118.9	127.6	294.8	289.5
Limk1	1111.6	1808.5	1115.4	1136.0
Snta1	234.6	412.1	298.8	351.3
Wrn	230.4	438.0	287.6	570.7
Kcnab2	848.4	964.1	979.1	658.2
Pou2f1	190.0	267.5	281.4	236.1
Pou2f1	386.9	486.8	618.1	598.4
Nipbl	508.3	655.0	489.6	495.7
Dok1	572.6	372.4	353.6	509.9
Hgf	4.2	46.0	9.8	6.1
St6galnac3	104.2	101.1	76.2	154.6
Six3	52.4	72.8	10.8	51.1
Six3	5.0	21.5	11.9	15.6
Lhx3	97.9	129.5	112.8	152.7
H2-Ea-ps /// LOC100504404	216.4	291.0	52.1	8.2
Casp4	915.0	509.3	1307.2	947.4
Tgtp1 /// Tgtp2	2016.6	5697.1	612.0	1058.4
Phldb2	13.7	7.2	7.6	8.8
Epb4.2	45.6	22.8	5.5	6.7
Abcb1a	254.5	297.6	185.6	220.4
Brca2	282.7	285.9	244.8	279.4
Tnks2	1362.8	659.8	777.7	512.4
Bcl2a1a /// Bcl2a1b /// Bcl2a1d	69.7	72.4	135.2	144.7
Bcl2a1a /// Bcl2a1b /// Bcl2a1c /// Bcl2a1d /// Mthfs	12653.8	10697.1	12640.7	14590.7
F2rl1	93.1	88.3	143.7	176.9
Tnxb	18.5	21.4	30.4	25.6
Ciita	135.9	110.4	29.6	103.1
Muc1	241.3	95.8	84.5	93.7
Mafk	508.2	304.0	535.3	296.3
Ttc39b	768.4	674.6	434.7	480.6
Fas	5.4	4.3	2.1	2.4
Pitpnc1	412.2	674.3	513.4	557.4
Pnoc	11.9	11.3	7.7	13.6
Dtx1	246.6	216.8	145.6	290.3
Dusp9	8.7	5.3	27.8	5.9
Gfra3	87.6	219.5	106.4	160.1
Htt	460.8	464.4	477.8	480.2
Htt	1324.1	1661.0	1258.5	1574.3
Flt3l	331.8	508.2	296.7	331.6
Si	68.1	119.7	78.9	60.9
Wap	38.5	26.5	11.1	27.3
Nr5a2	7.7	18.5	13.0	9.9
Plxna3	250.2	398.7	275.6	403.5
Cdc25c	111.3	25.2	23.2	54.7
Cdc25c	8.1	8.8	5.8	10.2
B4galt6	25.8	37.7	11.4	83.9
Gm1995 /// Gm7104	303.5	152.8	221.6	207.8
Lect2	34.4	34.9	86.3	107.0
Cd22	33.5	44.3	24.7	46.3
Ltb	12381.9	11571.3	5894.9	6257.4
Uggt1	184.0	220.6	263.0	277.5
Specc1	164.5	105.2	131.8	111.1
Atg7	255.7	289.1	346.7	375.8
G3bp1	161.0	402.8	354.3	460.1
Gapdhs	145.6	149.9	85.4	137.4
Slc22a2	54.9	145.5	22.3	125.9
