Gene symbol	Control1	Control2	Anergic1	Anergic2
Sh2d2a	3840.4	2778.4	3112.0	2679.2
Cd59b	106.3	224.3	96.7	195.9
Dffb	129.4	7.5	37.2	17.2
Igl-V1	278.4	308.7	127.2	361.3
Tex2	248.6	258.4	159.0	272.6
Wdr26	541.7	839.4	715.4	784.0
Pspn	579.2	531.7	439.0	522.4
Gm16848 /// Igk-V28 /// Igkv12-46	25.1	26.6	25.0	61.4
Cybb	78.3	151.5	20.0	81.4
Esrrb	20.3	12.4	10.2	26.7
Maff	124.7	136.5	149.9	114.5
H2-M10.1	120.9	275.4	155.6	255.6
	305.8	593.2	268.6	508.3
H2-M10.1	193.4	172.6	198.0	228.6
2700007P21Rik	285.7	275.1	227.7	139.0
Nfix	73.2	112.7	98.3	147.3
Col8a1	41.0	20.2	12.2	83.9
Met	8.2	9.8	7.7	20.3
Ear1	4.3	4.2	3.7	7.5
Itga8	23.2	97.6	51.8	100.4
Itga8	15.3	17.8	11.2	16.1
Atp8a1	30.7	104.0	82.0	209.9
Ppef2	50.8	75.5	36.3	79.6
Dnajb13	1042.0	732.8	390.7	489.7
Il10	18.0	38.0	5.1	11.6
Kpna4	76.6	143.9	166.0	169.1
2210418O10Rik /// LOC664987	51.2	89.5	42.5	87.2
LOC100045391	160.0	100.7	128.8	93.3
Amd1 /// Amd2	1330.2	1416.6	997.8	1153.9
Amd1 /// Amd2	149.7	275.6	79.1	196.6
Gp49a	2419.7	2600.7	1712.8	1365.5
Klra8	159.6	169.5	76.1	165.3
Lta	128.5	345.6	120.6	344.8
Gm10693 /// Gm14548 /// Gm15448 /// Lilra6 /// Lilrb3 /// Pira1 /// Pira11 /// Pira2 /// Pira4 /// Pira6 /// Pira7	98.4	166.6	81.2	144.8
Serpina1c	11.1	17.9	9.4	14.1
LOC100504815 /// Prdx2	4.3	3.3	2.4	3.7
Prdx2	2494.0	3458.2	4005.5	3433.9
Prdx6 /// Prdx6-ps1	1063.2	794.2	608.9	507.5
Saa2	71.9	192.5	55.1	122.4
Egfbp2	24.4	12.1	18.1	25.2
Atp7b	131.2	161.0	33.4	91.3
Bglap /// Bglap-rs1 /// Bglap2	236.4	382.3	126.6	214.6
Cacna1e	19.1	20.2	21.6	16.0
Cacna1e	179.0	219.0	159.5	193.2
Slc10a1	37.5	63.4	22.3	28.6
Slc10a1	8.0	24.5	2.6	4.4
Slc10a1	58.6	30.8	22.0	30.2
Tuba1a	3419.2	2280.4	3665.1	2908.2
Tuba1a	4065.7	3366.0	4485.8	3627.9
BC026585	867.0	1281.6	521.1	949.2
