Distance from Center (cmd=annotatePeaks.pl /data/mm10/External/GSE39756-Th17-AP1-Factors-2012/CD4TCell-Th17-JunD/peaks.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10)	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 - Tags
-2000	0.798265985066659	0.00380767644551998	0.00370728052569374	0.646711999400008	0.00308767974485167	0.00302504742789587	0.774964944598736	0.00363751340353575	0.00361056885980587	0.824074981103738	0.00405025982238609	0.00384581122322741	0.892808584874318	0.00427009155645991	0.00414364466195604
-1990	0.799674992897336	0.00382793984218215	0.00369991201781658	0.647464273100087	0.00297737208215339	0.00301196007808421	0.775692401455389	0.0038001429710483	0.00361730499573833	0.824994974445805	0.00406356712765679	0.003874845343818	0.893087025599898	0.00430019795991321	0.00408744604217655
-1980	0.800513818570851	0.00379938687415818	0.00370083308130122	0.648222078224431	0.00305776580242502	0.00307552720574084	0.777147315168696	0.00374529157845529	0.0036413626240686	0.826972597929145	0.00401517692667247	0.00361958703362579	0.89498390304291	0.00437044623463758	0.0041627120508098
-1970	0.802915162655817	0.0039117566192848	0.0037128069066016	0.649765345594445	0.00316152979021747	0.00303065629210086	0.778069524254689	0.00368274174479663	0.0036144180803387	0.829254471179153	0.00392323554480229	0.00376112837150488	0.896242687156468	0.00416572269115513	0.00417676170575467
-1960	0.80505334574517	0.00394767809518594	0.0036796486211544	0.649356020198814	0.00308581012345001	0.00291754419730009	0.779386965806108	0.00378378378378372	0.00359998350334055	0.830348321530745	0.00397404525583582	0.00402727447691854	0.89702580169716	0.00430722278738565	0.00411454180528452
-1950	0.80624853526691	0.00385557174672149	0.00365938522449222	0.650030853959179	0.00301102526738337	0.00303906958840836	0.781477688268143	0.00380110527618151	0.00371257320392616	0.83081194022281	0.00404421104726306	0.00390629897445779	0.898418005325059	0.004292169585659	0.00406938220010457
-1940	0.809296816799424	0.00398175744411777	0.00368425393857762	0.651087355993848	0.00307459239504001	0.00298017651425589	0.780727319384509	0.00365002337026748	0.00370487476286047	0.832079647583925	0.00399098182618032	0.00381556734761223	0.901179209187057	0.00448083638063302	0.00416672623793691
-1930	0.810864817731616	0.00390254598443835	0.00374228093811022	0.651551995632132	0.00299232905336671	0.00314096395479915	0.780755959418235	0.00374625388358852	0.00358939814687523	0.834701990810919	0.00406961590277981	0.00394622089026984	0.903777989292467	0.00437546396854646	0.00408543894861299
-1920	0.813161993922485	0.00400662615820318	0.0037293860493252	0.652243423665293	0.00316994308652496	0.00304654807401502	0.782027576915692	0.00373374391685678	0.00366638255753206	0.838910779249823	0.00443738143026052	0.00373935278106195	0.905999714248655	0.00445976189821571	0.00430722278738565
-1910	0.815607198173386	0.00396886255533276	0.00383991366748253	0.652459149211639	0.00311105001237249	0.00299887272827254	0.782594649583477	0.00375972615545347	0.00354898133128039	0.842163354136342	0.00408655247312433	0.00383250391795672	0.907426722967251	0.00444872288361616	0.004076407027577
-1900	0.816879142985514	0.00383991366748254	0.00384728217535969	0.652896131728596	0.00305122212751919	0.00302691704929753	0.784450523768954	0.00376453768111951	0.00361922960600475	0.845169631592702	0.00410227928844422	0.00405872810755835	0.909996498830413	0.00434033983118428	0.00421891067058929
-1890	0.817339674727836	0.00385096642929826	0.00376162327128775	0.652945914546984	0.00309048417695417	0.00299793791757172	0.786569886264715	0.00391561958703354	0.00363077726760328	0.846698124468105	0.0041325231640594	0.00380588930741536	0.911556927063349	0.00437245332820113	0.00423195677875239
