Distance from Center (cmd=annotatePeaks.pl /data/mm9/External/GSE40684-Rudensky-FoxP3-Enhancers/CD4TCell-Ets1/peaks-mm10.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined ../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined)	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined Coverage	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined + Tags	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined - Tags	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined Coverage	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined + Tags	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined - Tags
-2000	1.3049304285881	0.00611827470838235	0.00593977755674113	1.41161155575743	0.00677565783524777	0.00671398860656525
-1990	1.30952717023325	0.00636703137715895	0.00621132109593999	1.41303077286126	0.00667619133737272	0.00674581788588526
-1980	1.31073135444255	0.00627968170720684	0.00629487295415504	1.41461981081512	0.00691491093227284	0.00679157247490777
-1970	1.31151870565633	0.00621701781354557	0.00595496880368932	1.41683961192623	0.0068512523736328	0.00660855411881771
-1960	1.31494599917513	0.00619992766072886	0.00599104801519126	1.41879255170158	0.00696464418121034	0.00680947644452527
-1950	1.31773646450631	0.0062986707658921	0.00608029659101187	1.42026028904827	0.0068512523736328	0.00662247942852019
-1940	1.32026061986813	0.00630246857762913	0.006171444072701	1.42371735635247	0.00690496428248533	0.00663640473822269
-1930	1.31977431470668	0.00622651234288818	0.00585052898092052	1.42666496110657	0.00678958314495028	0.00655683153992266
-1920	1.3266983739102	0.00655312415227424	0.0059948458269283	1.43248739025047	0.00683732706393029	0.00640365313319509
-1910	1.32882885366513	0.00625689483678455	0.00622841124875671	1.43723024399061	0.00695867619133785	0.00689899629261281
-1900	1.33165405507927	0.00641640292974054	0.00627018717786421	1.43909827334095	0.00698055882087035	0.00656081019983766
-1890	1.33241824890441	0.00637652590650156	0.00633854778913107	1.4411239934806	0.00689899629261282	0.0066244687584777
-1880	1.33358769703076	0.00626638936612719	0.00637082918889597	1.44367130623105	0.00687512433312281	0.00671796726648024
-1870	1.33516239945831	0.00654173071706311	0.00629107514241799	1.44902066300702	0.00718943846640794	0.00669608463694773
-1860	1.33645921322218	0.00646767338819067	0.00619233203725477	1.4501851488358	0.00688507098291031	0.0066523193778827
-1850	1.33850864211687	0.00638981824758122	0.00620942219007148	1.45683242210842	0.0071038972782354	0.00656081019983767
-1840	1.34285065248697	0.00667085631612272	0.00629297404828651	1.46288532240594	0.00723121439551545	0.00669608463694773
-1830	1.34520112743398	0.00646957229405922	0.00629107514241798	1.46681546207808	0.00689899629261282	0.00680947644452528
-1820	1.34788738451628	0.00641450402387203	0.00639551496518678	1.46782225711754	0.00706212134912787	0.00670006329686273
-1810	1.34771370410148	0.00635753684781632	0.00611067908490824	1.47170387654681	0.0068333484040153	0.00671995659643774
-1800	1.35007575774281	0.0064600777647166	0.00635753684781631	1.47778103696576	0.00723519305543045	0.00693679356180533
-1790	1.3502378594633	0.0064524821412425	0.00631386201284026	1.482305549613	0.00731476625373051	0.00672990324622526
-1780	1.35198624230566	0.00641640292974055	0.00625119811917899	1.48781259717828	0.00739632878198803	0.00657075684962517
