Distance from Center (cmd=annotatePeaks.pl /data/mm10/External/GSE39756-Th17-AP1-Factors-2012/CD4TCell-Th17-cJun/peaks.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10)	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 - Tags
-2000	0.983471145517334	0.00471432376893218	0.00452054950909503	0.748202086835752	0.00338990790775547	0.0034080219194763	0.98908783012405	0.0048854555141184	0.00455247735748545	1.07179931939151	0.0052040490143847	0.00471512291650813	1.20294960904904	0.00611713220184195	0.00565043001750523
-1990	0.988084818370599	0.00490299870614203	0.00440326508866729	0.750024206357965	0.00358398660476436	0.00353740771748222	0.993099424106342	0.00483484283431019	0.00441928609483228	1.07460670408935	0.00502991095212729	0.00520739782327425	1.20624144595342	0.00582822132582399	0.00538096506583463
-1980	0.991909310341068	0.00489025039957379	0.00459194002587714	0.751417591874952	0.00359692518456495	0.00345201309079832	0.99822094527741	0.00500266382525319	0.00453116675546095	1.07195974137424	0.00482898241875335	0.00460461222315246	1.21158867370542	0.00586433518532623	0.00536707511987223
-1970	0.994216146767701	0.00485710480249638	0.00452819849303597	0.753745005046183	0.00368490752720899	0.00344683765887807	0.999790699444394	0.00507725093233898	0.00467501331912638	1.07354390845374	0.00522414186772209	0.00474191338762465	1.21650234245051	0.00601990258010514	0.00574210366085709
-1960	0.998010285627294	0.00495399193241495	0.00467352918791382	0.756332721006302	0.00371854783469053	0.00360468833244531	1.00182028058959	0.00490143846563678	0.00461907298881204	1.0796800492933	0.00542172159220645	0.00500981809878989	1.22119120282163	0.00623380774792613	0.00549764061191881
-1950	0.999239586617802	0.00489025039957378	0.00459448968719078	0.758828565393872	0.00356328487708341	0.00338473247583523	1.00182028058959	0.0048561534363347	0.00458710708577528	1.08242727574761	0.00536814064997341	0.00439028845422026	1.22695593183955	0.00607268437476227	0.00547263870918649
-1940	1.00312478481003	0.00490554836745566	0.00470922444630489	0.762488116367058	0.0037703021538929	0.00352964456960187	1.00611728442042	0.00490410229088984	0.00454182205647319	1.09086948258897	0.00512032879214555	0.00503325976101685	1.23156450350569	0.00607824035314723	0.00545874876322408
-1930	1.00397467191457	0.00476786665651875	0.00473982038206864	0.764264300102997	0.00361503919628579	0.00342354821523701	1.00806758505213	0.00487480021310614	0.00466435801811413	1.09339612881703	0.00520739782327425	0.00501986452545859	1.23710442414965	0.00598656670979537	0.00576710556358942
-1920	1.00565926956823	0.00489789938351473	0.00453329781566327	0.767188878495794	0.00391521424765954	0.00355293401324294	1.00995446127305	0.00482951518380406	0.00453649440596706	1.09754704762026	0.00545520968110211	0.00510693355658729	1.23981818237814	0.00573932567166461	0.00546430474160904
-1910	1.01015152997799	0.00502028312656976	0.00443386102443104	0.767341997783375	0.00357363574092389	0.0037004338229697	1.01098510794834	0.0045418220564732	0.0046004262120406	1.10111643673609	0.00521744424994295	0.00538488469442124	1.24357569377144	0.00585044523936383	0.00564487403912028
