Distance from Center (cmd=annotatePeaks.pl /data/mm9/External/GSE41740-CTCF-Lymphocyte-Subsets/Rag-KO-Thymocyte-DP-CTCF/peaks-mm10.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10)	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 - Tags
-2000	0.649099451919491	0.00302137878272699	0.00296300153009182	0.553254437869814	0.00251589595375719	0.00271098265895952	0.647774283123645	0.00307484699081954	0.00303914484869101	0.703677310458986	0.00354947296837814	0.00342978578714727	0.72257615081185	0.00351689476368589	0.00338037657259442
-1990	0.650769068465531	0.00310538507310441	0.00301283577014624	0.553143277354029	0.00259393063583813	0.00250433526011557	0.648571205939014	0.00308972288337309	0.00325782046922825	0.703374956988436	0.00334002040122411	0.00347653859231558	0.722594085413938	0.0034129547772867	0.00354016490989466
-1980	0.651184353799318	0.00309684206052367	0.00283628017681062	0.553006464411525	0.00257080924855488	0.0026401734104046	0.647517496883138	0.00321914314858901	0.00309418565113916	0.703195784561444	0.00339238354301263	0.00313430805848354	0.720899265516652	0.0033415929955798	0.00351224073444413
-1970	0.651819994616338	0.00299859741584497	0.00314525246514794	0.554571262441419	0.00270953757225431	0.00273843930635836	0.647703445540057	0.00315815198911943	0.00324443216593005	0.70347574147862	0.00320537232233937	0.00329139748384907	0.72304245046613	0.00367823444406671	0.00337106851411091
-1960	0.652870920767145	0.00324634478068688	0.00308545137708265	0.553664876697327	0.0025809248554913	0.00262283236994217	0.649279581774898	0.00321765555933366	0.00303170690241423	0.70486432778781	0.00328952737164233	0.00347279836790211	0.723517717421454	0.00338813328799734	0.00331522016320985
-1950	0.653464185529698	0.00318939136348185	0.00309968973138391	0.552715736908703	0.00256647398843927	0.00258815028901731	0.651112504250246	0.00320575484529081	0.00310013600816058	0.705189077811734	0.00355882352941181	0.00341295477728667	0.725042158598907	0.00335710642638564	0.00338968463107793
-1940	0.653201453991996	0.0031594908194492	0.00317515300918059	0.553724732359673	0.00273121387283235	0.00269364161849709	0.65084686331179	0.00319385413124797	0.00311054913294807	0.704158836356528	0.00328952737164233	0.00347279836790212	0.725625033166757	0.00353395953757232	0.00349362461747711
-1930	0.653718441856506	0.00306267001020065	0.00302137878272699	0.553220234634188	0.0025809248554913	0.00269364161849709	0.6529100079338	0.00325187011220683	0.00304509520571244	0.703576525968803	0.00337368242094529	0.00341295477728667	0.725660902370932	0.00348897058823536	0.00328729598775932
-1920	0.654387983517101	0.00309399438966341	0.00320790122407349	0.554767931046269	0.00259248554913292	0.00256213872832367	0.653786623030706	0.00324145698741935	0.00313583815028911	0.703878879439352	0.00341482488949341	0.00330448826929619	0.728162779362164	0.00358515385923162	0.00345018701122074
-1910	0.655108376443058	0.00319508670520235	0.00314667630057807	0.555169819064875	0.00258959537572251	0.00264450867052021	0.654725221013252	0.00320724243454617	0.00312840020401233	0.70655526756755	0.00363923835430131	0.00334376062563757	0.730305964311643	0.00363479683781033	0.00348586790207419
-1900	0.65737125775165	0.0033075697041823	0.00303988864331863	0.554793583472988	0.00261994219653177	0.00257803468208089	0.657576433752683	0.00329501020061215	0.00297517851071073	0.706644853781046	0.00341669500170015	0.00316235974158453	0.732045620714148	0.00361462937776273	0.00346725178510717
-1890	0.658066225044926	0.00309968973138391	0.00295303468208095	0.554083866333747	0.00237283236994216	0.00263439306358379	0.659674997166488	0.00315220163209802	0.00301236824209461	0.711426517926404	0.00363549812988783	0.0034204352261136	0.734233642168846	0.00370305593335607	0.00350138133288004
-1880	0.660803718163561	0.00316376232573958	0.00308687521251278	0.554109518760467	0.00251445086705199	0.00262572254335257	0.661755851184396	0.00320575484529081	0.00306145868752134	0.711348129989595	0.00335685141108471	0.00320537232233938	0.735560802723335	0.00357739714382869	0.00349672730363828
-1870	0.661430883769688	0.00324207327439651	0.00309684206052366	0.553382700003412	0.00251878612716759	0.00265606936416183	0.662809560240272	0.00313435056103375	0.00294691431485898	0.714293276758281	0.00346905814348866	0.00323155389323363	0.738313764143795	0.00369840190411431	0.003381927915675
-1860	0.661007123225007	0.00317515300918058	0.00312389493369606	0.552613127201825	0.00256358381502888	0.00256791907514447	0.665395132041247	0.0031462512750766	0.00300344270656248	0.715502690640479	0.00334563073784431	0.00322220333219997	0.740887379543377	0.00368754250255022	0.00341605746344787
-1850	0.661498685456836	0.00317800068004084	0.00309826589595378	0.552912405513553	0.0025823699421965	0.00258815028901731	0.666758755525323	0.00304509520571243	0.002926088065284	0.719489277141059	0.00349710982658964	0.0032128527711663	0.742860185773023	0.00358980788847337	0.00333849030941863
-1840	0.661185102653773	0.00309541822509354	0.00290889578374704	0.552433560214788	0.00262138728323697	0.00263005780346818	0.667493695455052	0.00306740904454276	0.00298112886773215	0.724338130946539	0.00367477048622923	0.00325025501530096	0.744025934908723	0.003628591465488	0.00339123597415851
-1830	0.662388582600665	0.00309399438966341	0.00295445851751107	0.551441666381632	0.00253468208092482	0.00258959537572252	0.668875028335025	0.00322509350561044	0.00309418565113916	0.728123148466751	0.00369908194491674	0.00310251615096909	0.747568018821041	0.00366737504250262	0.00339123597415851
-1820	0.663032698628579	0.00291316729003742	0.00322071574294462	0.551091083216464	0.00254479768786124	0.00271965317919073	0.667697353507868	0.00302724413464817	0.00313435056103375	0.732468079821315	0.00353077184631082	0.0033624617477049	0.748240566399329	0.00357119177150635	0.00331987419245161
-1810	0.661795317838113	0.00309399438966341	0.00314382862971782	0.550056435338775	0.00261560693641616	0.00264306358381501	0.669556840077063	0.00330542332539963	0.00305253315198921	0.733621502320078	0.00356069364161853	0.00338303298197896	0.751199775743797	0.00357429445766753	0.00335710642638564
-1800	0.660634213945689	0.00293025331519893	0.00306551768106088	0.549218456065936	0.00253468208092482	0.00265028901734101	0.670398036382174	0.00316558993539622	0.00306889663379812	0.734898105862399	0.00362614756885418	0.00338864331859915	0.754697023150896	0.00369219653179198	0.00342691686501196
-1790	0.661193577864667	0.0031210472628358	0.0031424047942877	0.547294524061968	0.00255057803468205	0.00266907514450865	0.670858480675498	0.0031462512750766	0.00320724243454617	0.736969787049498	0.00347466848010885	0.00336433185991163	0.756221464328349	0.00359135923155396	0.00356033236994226
