Distance from Center (cmd=annotatePeaks.pl /data/mm10/External/GSE39756-Th17-AP1-Factors-2012/CD4TCell-Th17-Irf4/peaks.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 ../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10)	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-100uM-K99A-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-0_1uM-PCC-24h-KAA-15-04-10 - Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 Coverage	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 + Tags	../tag-dirs/AND-CD4TCell-H3K27Ac-10uM-PCC-24h-KAA-15-04-10 - Tags
-2000	0.835210952355212	0.00394110535717522	0.0038782410999442	0.666586875779988	0.00306988325724909	0.003159452193212	0.819296836939071	0.00381443857021719	0.0038283322206385	0.879172133350078	0.00419826419588254	0.004010898395915	0.954407111596582	0.00455089226105637	0.00443102794969425
-1990	0.83732657639664	0.00408254993594502	0.00394835892531726	0.66830028008308	0.00325760993125354	0.00313982064560369	0.820943324732507	0.00399379296656511	0.00389401129535747	0.880103923078933	0.00432529185687746	0.00410616914166118	0.955922261057362	0.0045271828368309	0.00439151224265179
-1980	0.838017392410168	0.004078923151874	0.0038371375471393	0.668024392949531	0.00310423846556363	0.00304166290756215	0.82089069726879	0.00394074448313827	0.00373612890420613	0.881463575438384	0.00425542664333025	0.00420779127045715	0.958221633605883	0.00460884863138531	0.00450083903213592
-1970	0.838319624416086	0.00390362858844134	0.00381054113061848	0.669164242422351	0.00304657079446423	0.00302939319030695	0.822710103871582	0.00402158026740773	0.00386369787625641	0.881881930010524	0.00409822991284901	0.00401089839591499	0.95736888617067	0.00448898432002319	0.00440468414499928
-1960	0.842032760488797	0.00405837137547155	0.00400880532650093	0.670224229830196	0.00317785676909479	0.00324165929882179	0.823822798818744	0.00404557839086276	0.0038396997528014	0.8843825493849	0.00424272387723076	0.00415062882300943	0.958944946162536	0.00459567672903782	0.00442312480828576
-1950	0.842989828507538	0.00410431064037114	0.00397495534183808	0.67036217339697	0.00310546543728915	0.00308706086140636	0.824273891364891	0.00396221648833484	0.00379422962414982	0.883783541702064	0.0041839735840206	0.00395849948575459	0.960193612049812	0.00464968152866252	0.00429930892621939
-1940	0.84505508054798	0.00412728027282094	0.00385889825156542	0.672206261079111	0.00329687302647016	0.00313736670215265	0.825273813175516	0.00389148517709904	0.00384096281193061	0.888081184124947	0.00458887425344195	0.00425701448909268	0.964700991350224	0.00476164269861615	0.00449820465166643
-1930	0.846933236584758	0.00404507316721114	0.00393385178903318	0.671182574609891	0.00307356417242565	0.0030833799462298	0.825424177357565	0.00381443857021719	0.0038636978762564	0.889868699114995	0.00436657584670081	0.0042665415636673	0.967700835006241	0.00473266451345168	0.00443102794969425
-1920	0.847767972601104	0.00404869995128216	0.00395561249345929	0.672634612154884	0.0032367514119197	0.00306865628552357	0.825800087812687	0.00400516049872801	0.00397358402049774	0.89299685034758	0.00435704877212619	0.00419350065859521	0.972330035368825	0.00476559426932039	0.00455089226105637
-1910	0.849056056626328	0.00415508561736542	0.00397253748579073	0.673324329988756	0.0031852185994479	0.00325024810090042	0.827168401869332	0.0040165280308909	0.00383338445715534	0.897227936361258	0.00458093502462978	0.00401883762472718	0.975900915253779	0.00469183161617447	0.00459962829974207
