Distance from Center (cmd=annotatePeaks.pl /data/mm9/External/GSE41740-CTCF-Lymphocyte-Subsets/Rag-KO-Thymocyte-DP-CTCF/peaks-mm10.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20)	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 - Tags
-2000	0.770126592210927	0.00369175025501523	0.00356651649098939	0.776313828829695	0.0037010370622239	0.00364531621897331	0.727543474036979	0.00341108466507986	0.00339291482488945	0.79687651794819	0.0037880397823867	0.00365496429785764	0.745264401492833	0.00348325399523963	0.00358062733764017
-1990	0.770471013763794	0.0035347670860251	0.00364589000340013	0.777210882652925	0.00377728663719841	0.00361794457667477	0.728286130203492	0.00353706222373337	0.00340018276096562	0.798492120836744	0.00379199251955092	0.00368526861611673	0.744651804856795	0.00349804488269288	0.0034524396463787
-1980	0.771347723171092	0.00358591890513424	0.00367411169670172	0.778717473048348	0.0037108126487591	0.00369223903434223	0.728747586462296	0.00344742434546068	0.00356007735464122	0.800570444940952	0.0038433781026859	0.00369580924855468	0.746327219752946	0.00354981298877924	0.00344874192451539
-1970	0.770669317082112	0.00361943216592988	0.00354358636518184	0.779861791707468	0.00377630907854489	0.00364336110166627	0.728307760965623	0.00346680550833045	0.00341108466507986	0.802217418759381	0.00378408704522246	0.00375905304318234	0.748570947190964	0.00359788337300228	0.00339820639238347
-1960	0.770533635864315	0.00373937436246166	0.00349772611356676	0.781500640038368	0.00375675790547451	0.00369028391703519	0.728891791543172	0.0035116244474668	0.00342319789187347	0.80337814316475	0.00395537232233907	0.00376300578034658	0.75049730528742	0.00358555763345791	0.00356583645018692
-1950	0.772328802745926	0.00368469483168982	0.00369527796667793	0.782414944896659	0.00373525161509708	0.00356613396803824	0.73051409870303	0.00354796412784761	0.00341471863311794	0.804609452162338	0.00382361441686476	0.00368263345800725	0.751825828112561	0.00366197721863301	0.00359295307718455
-1940	0.771629522623438	0.0035418225093505	0.00371997194831682	0.783714522871338	0.00372547602856188	0.00352898673920451	0.731451431728726	0.00350072254335255	0.00343409979598771	0.80611525679633	0.00381307378442681	0.00372611356681377	0.751685595147685	0.00360404624277447	0.00354488269296149
-1930	0.772443609930215	0.00378170690241406	0.00369527796667792	0.785295867752031	0.0037411169670182	0.00367855321319296	0.733852446325316	0.00358672645358716	0.00343773376402579	0.807448521316011	0.00384996599795962	0.00373401904114223	0.752689367948904	0.00371990819449156	0.00341299727983672
-1920	0.772673224298793	0.00349067069024135	0.00373408279496762	0.788182540952423	0.00394249404964317	0.00365215912954794	0.735525225263481	0.00359036042162525	0.00342925450527027	0.808781785835691	0.00392111526691574	0.00366682250935033	0.755088089716521	0.00363855831349871	0.00352639408364493
-1910	0.775031990085095	0.00390694066643989	0.00352947551853105	0.789648878932702	0.00372840870452244	0.00364238354301275	0.737349419536566	0.00370785872152321	0.00342440921455282	0.81110323464643	0.00385787147228808	0.00381834410064579	0.756150907976635	0.00371004760285606	0.00350174260455619
-1900	0.778277902295449	0.00379405389323351	0.00367587555253308	0.791212972778332	0.00380563583815047	0.00362869772186348	0.738834731869592	0.00355402074124442	0.00337111101666096	0.812820793057077	0.00388949336960191	0.00388685821149242	0.75756799899012	0.00365458177490639	0.00333657769466161
-1890	0.778872812250402	0.00370938881332872	0.00374290207412437	0.793754625277482	0.0038173665419927	0.0036550918055085	0.739930690484252	0.00350072254335255	0.00344742434546068	0.812820793057077	0.00377749914994875	0.00381439136348156	0.759856010522309	0.0035621387283236	0.00353009180550824
-1880	0.77895630838443	0.0034818514110846	0.00364765385923148	0.795600486029127	0.00382029921795326	0.00365704692281554	0.74161067967646	0.00355523206392377	0.0035758245494729	0.814287384028726	0.0038829054743282	0.00376695851751081	0.761516664053736	0.0035818599115946	0.00358309248554904
-1870	0.78122114101995	0.00393339850391014	0.00373231893913627	0.796917315038868	0.00376262325739562	0.00372743114586892	0.741574628406241	0.0034898206392383	0.00341471863311795	0.816310809005653	0.00382888473308373	0.00382624957497425	0.76195950499545	0.00367430295817739	0.00347955627337632
-1860	0.782525768114144	0.00379758160489621	0.00363530686841203	0.797526851611062	0.00370396973818446	0.00369419415164927	0.743088781755442	0.00356855661339674	0.00341229598775922	0.817400948818804	0.00389344610676615	0.00378145188711298	0.762461391396059	0.00354241754505261	0.00355227813668812
-1850	0.783412914538196	0.00376583219993191	0.0035277116626997	0.798234144048608	0.00382225433526029	0.00367855321319296	0.743276248360581	0.00340745069704178	0.00338928085685137	0.818224435728018	0.0038249319959195	0.00382361441686476	0.763324931232401	0.0036249999999999	0.00355597585855143
-1840	0.783757336091063	0.00365294542672553	0.00362648758925528	0.798694171650264	0.00375480278816746	0.00363847330839867	0.743124833025661	0.00329964297857868	0.00349951122067319	0.818522459561829	0.00378935736144144	0.0038710472628355	0.763443022150192	0.00356953417205023	0.00360404624277448
-1830	0.785135022302532	0.00363001530091799	0.00370409724583467	0.799021941316444	0.00379683781026879	0.0037264535872154	0.744177530116058	0.00362306613396797	0.0034559036042162	0.818922438917734	0.0038921285277114	0.00380912104726259	0.764889635893124	0.00369648928935726	0.00345983509010532
-1820	0.785176770369546	0.00367411169670173	0.00380463702822161	0.799775236514156	0.00377826419585193	0.00368832879972815	0.745186965682192	0.00353463957837465	0.00340502805168306	0.820945863894661	0.00399358211492662	0.00384206052363116	0.765886028011981	0.00358062733764016	0.00358062733764017
-1810	0.785510754905659	0.00379052618157081	0.00361590445426718	0.801120817249	0.0039288082284939	0.00376555593335618	0.744812032471914	0.00346074889493364	0.00346922815368917	0.821651709816845	0.00386182420945231	0.00396327779666753	0.766092687118114	0.00351899863991831	0.00366074464467858
