Distance from Center (cmd=annotatePeaks.pl /data/mm10/External/GSE39756-Th17-AP1-Factors-2012/CD4TCell-Th17-Irf4/peaks.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20)	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 - Tags
-2000	1.04004452630426	0.00488975298172152	0.00473100449288156	1.07186063469247	0.00509875318020275	0.00489623067068468	0.997899519779785	0.00484110716154544	0.00459838328431472	1.12823186328723	0.00545594630194271	0.00523891665614062	1.04837710947882	0.005039064614496	0.00486952599195221
-1990	1.0437398550888	0.0051158946969558	0.00482835026434003	1.07500979136169	0.00524068493892238	0.00491034084552815	1.0000789411956	0.00480613846736814	0.00467860558272148	1.13131497343716	0.00551859403475156	0.00500734378665075	1.05136631340258	0.00511441511340434	0.00480254777070035
-1980	1.04686803509106	0.00521623572292067	0.00481636924631437	1.07821753699219	0.00525396510348094	0.00493109110265091	1.00285831569778	0.00493161437000435	0.00465289330759112	1.13628923538531	0.00553873080601155	0.00525234117031394	1.05386045000982	0.00503383194096069	0.00496162104617353
-1970	1.04884419412931	0.00514434961476672	0.0049496580718498	1.08184517017859	0.00525396510348094	0.00496761155518695	1.00472551662987	0.00489870265783748	0.00463232348748683	1.14081734532473	0.00554208693455488	0.00533400696486833	1.05668672038637	0.00510604283574785	0.00500138936504181
-1960	1.0509089701648	0.00510990418794296	0.0047594594106925	1.08461349859944	0.00515519387957664	0.00505476263510251	1.00647640012684	0.00473003013298223	0.00488533227476968	1.14190941889835	0.00536085599321499	0.00515836957110066	1.05731965455053	0.00500766857328417	0.00480150123599329
-1950	1.05321301209281	0.00502903231626978	0.00478941195575664	1.08635163778431	0.00516764403385029	0.00503982244997413	1.0075171350726	0.00483493621551416	0.00475368542610218	1.14492593919623	0.00540224824524941	0.00529261471283392	1.06000179140455	0.0051154616481114	0.00488522401255812
-1940	1.05603989430449	0.00521024521390785	0.00489724111798755	1.08898325862882	0.00524483499034693	0.00497840168889078	1.0090231397588	0.00473825806102395	0.00469403294779972	1.14703683750622	0.0054760830732027	0.00530044567943503	1.06335446247208	0.00511755471752552	0.00488627054726518
-1930	1.05772361725188	0.00503202757077619	0.00499458688944602	1.09193223634697	0.0052423449594922	0.00506721278937616	1.01081075507739	0.00478968261128471	0.00467449161870063	1.14975370346987	0.00551635661572268	0.00552866242038156	1.06661940009111	0.00519604482055505	0.00490929431082051
-1920	1.05949595719651	0.00500806553472488	0.00489274823622793	1.09532063127478	0.00537182656393818	0.00508713303621401	1.01363298337146	0.00488636076577491	0.00459426932029387	1.15019985547861	0.00546489597805826	0.00524786633225616	1.06942687044299	0.0051866260081915	0.00484440915898277
-1910	1.06300519028686	0.00515633063279239	0.00493018891755811	1.09746889318867	0.00531123581313974	0.00514523375615771	1.01714087233568	0.00490898756788962	0.00470843182187272	1.15353600706632	0.00564388950036926	0.00546042114000049	1.0733811423002	0.00512174085635376	0.00503697154508188
-1900	1.06517630671903	0.00506797062485317	0.00515483300553918	1.09921191478698	0.00528550549430753	0.00497591165803605	1.01887951189211	0.00483390772450894	0.00450376211183495	1.15693874850609	0.00557229209144486	0.00533512567438278	1.0757499454096	0.00520441709821153	0.00486952599195221
-1890	1.0657434555013	0.00510391367893014	0.00484931704588492	1.10284931280026	0.00540751700618931	0.00504065246025904	1.02033654081616	0.00477116977319083	0.00460455423034601	1.15972220432179	0.00561256563396484	0.00542350372602384	1.07745448098038	0.00509243788455607	0.00496790025441588
