Distance from Center (cmd=annotatePeaks.pl /data/mm10/External/GSE39756-Th17-AP1-Factors-2012/CD4TCell-Th17-JunD/peaks.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20)	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 - Tags
-2000	0.960326103490671	0.00461998570289492	0.00431191058810569	0.988594500790029	0.00487748480932642	0.00450565010585384	0.925999717200167	0.00444296280003332	0.00425098292595778	1.03432974465537	0.00494435126886747	0.00464007038574635	0.969878779187818	0.00455997910423106	0.00446589315663546
-1990	0.963735657138898	0.00464622913859919	0.0043621154216269	0.990301905040668	0.00466943443952629	0.00456129883698579	0.928681651786985	0.00443120893019197	0.00428624453548186	1.03832249267151	0.00504407357510044	0.00473723570976822	0.971955678974892	0.00464848368205404	0.00440130873498085
-1980	0.967178968744037	0.00470442110472604	0.00470213906683871	0.993285212685576	0.00491669186989665	0.00463212449479009	0.930468053433509	0.00450173214924014	0.00423531109950264	1.04209708545933	0.00506623408759665	0.0048548568914789	0.974471831130727	0.00471306810370865	0.00449140798988172
-1970	0.968893872955225	0.00472724148359932	0.00450930686535953	0.995944894688205	0.0047668197190072	0.00448225234390063	0.9328421485721	0.00446490335707053	0.00432934205823351	1.04446127932912	0.00497759203761178	0.00477814742514585	0.976462790236957	0.00465087569767087	0.00440689010475347
-1960	0.96957578368487	0.00462112672183858	0.00459146022930333	0.999642410647106	0.00486736685821152	0.00452525363613896	0.935659345946775	0.00450956806246771	0.0044398284347423	1.04692186736957	0.0050023095323191	0.00462984245690194	0.978568336917647	0.00462695554150251	0.00467399851530031
-1950	0.970804573316508	0.00468958785845842	0.00452414011162716	1.00323949106185	0.0048711610898796	0.00471875945121143	0.937525039572387	0.0045095680624677	0.00439594732066788	1.05028044321034	0.00508583761788176	0.00477559044293474	0.980893509782716	0.00482070880646632	0.00446669049517441
-1940	0.973133872343514	0.00465193423331751	0.00458803717247234	1.00599588877367	0.00503937202716482	0.00464161007396031	0.937557689210835	0.00444061202606506	0.00445158230458366	1.05380136712801	0.00509521321932247	0.0049989002227043	0.98402557015127	0.00485499436364099	0.00462456352588567
-1930	0.975766992982739	0.00473066454043031	0.00450246075169755	1.00947393446941	0.00502609221632651	0.00460430012922412	0.93957730256056	0.00449076187072153	0.00431523741442388	1.05582057133439	0.00515487613758151	0.00483951499821229	0.984818134207947	0.00470031068708552	0.00458230458332154
-1920	0.978447374761641	0.00484818949162768	0.00457092188831738	1.01203690076286	0.00486483737043279	0.00466943443952629	0.941811470677231	0.0045369937587642	0.00426587116109016	1.06000103431445	0.00525800775342928	0.0049954909130895	0.987382031186473	0.00481991146792738	0.00461260344780148
-1910	0.980803680154178	0.00467703665007812	0.00466448544169781	1.01507972576727	0.0049388248879605	0.0046757581589731	0.945701441886633	0.00453777735008696	0.00427605784828602	1.062639190564	0.00520942509141835	0.00491196282752684	0.989711978533812	0.00469393197877395	0.00451134145335537
-1900	0.982410558903243	0.00478086937395152	0.00459488328613432	1.01836434004464	0.00496854636936052	0.00463212449479009	0.948751850964509	0.00460516620384409	0.00434971543262519	1.06617026123647	0.00517362734046293	0.00483866267080859	0.993335810576087	0.00478163921805799	0.00458549393747732
