Distance from Center (cmd=annotatePeaks.pl /data/mm9/External/GSE41740-CTCF-Lymphocyte-Subsets/Rag-KO-Thymocyte-DP-CTCF/peaks-mm10.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined ../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined)	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined Coverage	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined + Tags	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined - Tags	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined Coverage	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined + Tags	../tag-dirs/h3k27ac/AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined - Tags
-2000	0.808084788440999	0.00376479088745361	0.00382726963617854	0.843303723223422	0.00396323529411804	0.00405066303978279
-1990	0.807807226055549	0.00375988184291094	0.00382325314518909	0.842240381983924	0.00399829989799428	0.00400437776266616
-1980	0.80749700927181	0.0038638643318603	0.00385136858211531	0.841764301589832	0.00394967698061923	0.00403757225433566
-1970	0.808250781632298	0.00384467443046622	0.00379826164569912	0.841943900780417	0.00405066303978279	0.00396276776606636
-1960	0.809132450386082	0.0039174175450531	0.00372864246854847	0.841396550866252	0.00400250765045943	0.00397959877592695
-1950	0.80974199915413	0.00376612971778344	0.00387859146548831	0.840199222929014	0.00396837810268656	0.00395902754165289
-1940	0.809777374752276	0.00383351751105105	0.00389733509010579	0.840199222929014	0.00391882012920814	0.00394733934036081
-1930	0.809551515164115	0.00387948401904153	0.00392277286637238	0.841011695457854	0.00402167630057843	0.00404131247874913
-1920	0.809850847148424	0.00385315368922173	0.00379513770826287	0.840806439240042	0.00403710472628398	0.0040338320299222
-1910	0.810065821937155	0.00380093930635876	0.00385627762665799	0.84084349939048	0.00404645528731764	0.0039781961917719
